"","","","","","","","","","","","","Industries Under BOI","","","","","","","","","","","","",""
"","","Industries Registered under","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","Total (b)","",""
"","","","Ministry of Industries","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","Under Section 17 of the BOI Act (b)","","","","","200 Garment Factory Programme","","","","","Under Section 16 of the BOI Act","","","","","","","",""
"District","","","","","","","","","","","","","","","","","","","","","","","","",""
"","2017","2018","2019","2020","2021","2017","2018","2019","2020","2021","2017","2018","2019","2020","2021","2017","2018","2019","2020","2021","2017","2018","2019","2020","2021"
"","","","","","(c)","","","","","(c)","","","","(d)","(c)","","","","","(c)","","","","(d)","(c)"
"1. 
 Colombo","1,429","1,494","1,553","1,599","1,664","663","635","628","626","646","18","20","20","23","30","402","343","318","311","298","2,512","2,492","2,519","2,559","2,638"
"2. 
 Gampaha","467","516","565","622","692","533","530","549","609","646","10","10","10","10","10","108","92","87","84","83","1,118","1,148","1,211","1,325","1,431"
"3. 
 Kalutara","143","165","180","196","223","148","149","148","147","159","5","5","5","7","9","25","22","20","19","19","321","341","353","369","410"
"4. 
 Galle","47","50","57","58","61","80","79","78","86","88","4","4","4","7","11","59","56","52","53","51","190","189","191","204","211"
"5. 
 Puttalam","62","64","69","75","88","83","79","87","88","93","3","3","4","4","4","12","12","7","7","7","160","158","167","174","192"
"6. 
 Kandy","95","100","103","105","108","72","73","75","77","77","4","4","4","4","4","28","24","24","21","20","199","201","206","207","209"
"7. 
 Kurunegala","72","77","80","83","110","74","70","77","83","91","5","5","6","6","7","9","6","6","6","7","160","158","169","178","215"
"8. 
 Matara","46","49","49","50","54","23","25","29","29","33","1","1","1","1","1","7","6","6","6","6","77","81","85","86","94"
"9. 
 Hambantota","16","16","16","16","20","35","34","33","32","37","3","3","4","5","4","8","8","9","9","9","62","61","62","62","70"
"10.  Nuwara Eliya","6","6","6","6","7","65","67","67","67","67","6","6","5","5","4","2","2","2","2","2","79","81","80","80","80"
"11.  Ratnapura","21","22","49","49","54","52","52","52","48","50","7","6","6","6","7","9","5","5","4","4","89","85","112","107","115"
"12.  Anuradhapura","15","15","17","17","17","21","21","21","19","20","3","3","3","4","4","1","1","-","-","-","40","40","41","40","41"
"13.  Badulla","8","8","8","9","9","32","35","35","35","36","1","2","1","1","1","2","2","2","2","2","43","47","46","47","48"
"14.  Kegalle","21","21","34","35","39","39","39","40","41","48","5","5","6","6","6","3","3","3","3","3","68","68","83","85","96"
"15.  Matale","21","21","24","29","32","41","40","42","42","42","1","1","1","1","1","4","5","4","4","4","67","67","71","76","79"
"16.  Moneragala","3","3","3","3","3","9","8","10","9","11","1","1","1","1","-","-","-","-","-","-","13","12","14","13","14"
"17.  Polonnaruwa","8","9","10","10","16","10","7","8","6","6","2","2","2","2","2","-","-","-","-","-","20","18","20","18","24"
"18.  Ampara","10","10","16","17","18","10","10","9","8","8","4","4","4","4","7","3","3","3","3","3","27","27","32","32","36"
"19.  Trincomalee","6","6","9","11","11","23","23","25","24","25","1","1","1","1","1","1","-","-","-","-","31","30","35","36","37"
"20.  Batticaloa","7","11","15","16","16","14","14","13","14","17","1","1","1","2","2","-","-","-","-","-","22","26","29","32","35"
"21.  Vavuniya","2","2","3","3","4","6","6","7","8","10","-","-","-","-","-","2","-","-","-","-","10","8","10","11","14"
"22.  Jaffna","5","5","6","7","9","6","6","7","10","10","-","-","-","-","1","-","-","-","-","-","11","11","13","17","20"
"23.  Mannar","2","2","2","2","2","2","1","2","1","2","1","1","1","-","-","1","1","1","1","1","6","5","6","4","5"
