"Avtur",",,","327","360","391","382","425","456","499","474","189","224"
"Naphtha",",,","62","72","94","99","120","139","137","162","165","11"
"Local Sales - L.P. Gas",",,","211","218","232","293","356","412","435","466","473","457"
"Local Price (End Period)","","","","","","","","","","",""
"Petrol (92 Octane) (f)","Rs./ltr","159.00","162.00","150.00","117.00","117.00","117.00","125.00","137.00","137.00","177.00"
"Petrol (95 Octane)",",,","167.00","170.00","158.00","128.00","128.00","128.00","149.00","161.00","161.00","207.00"
"Auto Diesel",",,","115.00","121.00","111.00","95.00","95.00","95.00","101.00","104.00","104.00","121.00"
"Super Diesel",",,","142.00","145.00","133.00","110.00","110.00","110.00","121.00","132.00","132.00","159.00"
"Kerosene",",,","106.00","106.00","81.00","49.00","49.00","44.00","70.00","70.00","70.00","87.00"
"Furnace Oil","","","","","","","","","","",""
"500 Seconds",",,","-","-","-","-","-","-","-","-","-","-"
"800 Seconds",",,","92.20","92.20","92.20","82.20","82.20","82.20","92.00","96.00","70.00","110.00"
"1,000 Seconds",",,","-","-","-","-","-","-","-","-","-","-"
"1,500 Seconds",",,","90.00","90.00","90.00","80.00","80.00","80.00","96.00","96.00","70.00","110.00"
"3,500 Seconds",",,","90.00","90.00","90.00","80.00","80.00","80.00","n.a.","n.a.","n.a.","n.a."
"L.P. Gas","","","","","","","","","","",""
"Litro Gas","Rs./kg","179.68","191.68","151.68","107.68","105.68","114.48","138.64","119.44","119.44","214.00"
"Laugfs Gas",",,","179.68","191.68","151.68","107.68","105.68","114.48","138.64","119.44","119.44","227.20"
"(a)  Revised","","","","","","","","","Sources: Ceylon Electricity Board","",""
"(b)  Provisional","","","","","","","","","Ceylon Petroleum Corporation","",""
"(c)  Includes Independent Power Producers (IPP)","","","","","","","","","","",""
