"revenue  from  stamp  duty  on  tax  revenue  of  PCs","","","","","","",""
"","","","","","","","Rs. million"
"increased  to  76.0  per  cent  in  2021  from  63.5  per","","","","","","",""
"","","","Item","2018","2019","2020 (a)","2021 (b)"
"cent in 2020, while the share of revenue from NBT","","","","","","",""
"","","","Total Revenue","88,689","91,344","52,245","58,141"
"","","","","","","",""
"on  tax  revenue  of  PCs  declined  to  0.5  per  cent","","","Tax Revenue","82,228","81,499","43,096","51,067"
"","","","Non Tax Revenue","6,461","9,845","9,149","7,075"
"in  2021","from  6.3  per  cent","in  2020.  Meanwhile,","","","","",""
"","","","Total Expenditure","292,265","310,124","337,006","376,447"
"non tax revenue declined to Rs. 7.1 billion in 2021","","","Recurrent Expenditure","251,552","286,884","289,667","316,969"
"","","","o/w  Personal Emoluments","198,129","219,698","228,561","251,525"
"from  Rs.  9.1  billion  in  2020.  Revenue  in  all  other","","","","","","",""
"","","","Capital Expenditure","40,713","23,240","47,339","59,478"
"provinces  declined  during  2021  in  comparison  to","","","Central Government Transfers","203,576","218,780","284,761","318,306"
"","","","","","","",""
"the  previous  year,  except  the  Western  Province.","","","Block Grants","180,095","199,968","265,593","284,602"
"","","","Criteria Based Grants","2,462","2,205","1,752","2,559"
"Accordingly,  the  share  of  revenue  of  the  Western","","","","","","",""
"","","","Province Specific Development Grants","13,536","11,376","11,004","12,632"
"Provincial Council out of the total revenue collection","","","Foreign Grants for Special Projects","7,483","5,230","6,412","18,513"
"","","","(a) Revised","","Sources: Ministry of Finance","",""
