"","","","Table B 1.2","","",""
"","","","Latest IMF Programmes Obtained by Selected Regional Countries","","",""
"","","","","","","000’ SDRs"
"","Facility","Date of Arrangement","Expiration Date","Amount Agreed","Amount Drawn","Amount Outstanding"
"Pakistan","","","","","",""
"","EFF","Jul 03, 2019","Oct 02, 2022","4,268,000","2,144,000","2,144,000"
"","RFI","Apr 16, 2020","Apr 20, 2020","1,015,500","1,015,500","1,015,500"
"","EFF","Sep 04, 2013","Sep 30, 2016","4,393,000","4,393,000","2,244,750"
"","SBA","Nov 24, 2008","Sep 30, 2011","7,235,900","4,936,035","0"
"","ECF","Dec 06, 2001","Dec 05, 2004","1,033,700","861,420","0"
"India","","","","","",""
"","SBA","Oct 31, 1991","Jun 30, 1993","1,656,000","1,656,000","0"
"","SBA","Jan 18, 1991","Apr 17, 1991","551,925","551,925","0"
"","EFF","Nov 09, 1981","May 01, 1984","5,000,000","3,900,000","0"
"","SBA","Mar 22, 1965","Mar 21, 1966","200,000","200,000","0"
"","SBA","Jul 09, 1963","Jul 08, 1964","100,000","0","0"
"Bangladesh","","","","","",""
"","RCF","May 29, 2020","Jun 02, 2020","177,770","177,770","177,770"
"","RFI","May 29, 2020","Jun 02, 2020","355,530","355,530","355,530"
"","ECF","Apr 11, 2012","Oct 29, 2015","639,960","639,960","283,411"
"","ECF","Jun 20, 2003","Jun 19, 2007","400,330","316,730","0"
"","ECF","Aug 10, 1990","Sep 13, 1993","345,000","330,000","0"
"Nepal","","","","","",""
"","ECF","Jan 12, 2022","Mar 11, 2025","282,420","78,500","78,500"
"","RCF","May 06, 2020","May 08, 2020","156,900","156,900","156,900"
"","RCF","Jul 31, 2015","Aug 10, 2015","35,650","35,650","24,955"
"","ECF","Nov 19, 2003","Nov 18, 2007","49,900","49,900","0"
"","ECF","Oct 05, 1992","Oct 04, 1995","33,570","16,785","0"
"Maldives","","","","","",""
"","RCF","Apr 22, 2020","Apr 24, 2020","21,200","21,200","21,200"
"","SBA","Dec 04, 2009","Dec 03, 2012","49,200","8,200","0"
"","ESF","Dec 04, 2009","Dec 03, 2011","8,200","2,050","0"
"Afghanistan","","","","","",""
"","ECF","Nov 06, 2020","May 05, 2024","259,040","184,566","184,566"
"","RCF","Apr 29, 2020","Jun 23, 2020","161,900","161,900","161,900"
"","ECF","Jul 20, 2016","Dec 31, 2019","32,380","32,380","31,930"
"","ECF","Nov 14, 2011","Nov 13, 2014","85,000","24,000","1,200"
"","ECF","Jun 26, 2006","Sep 25, 2010","81,000","75,350","0"
"","","","","Sources: Pakistan, India, Bangladesh, Nepal, Maldives and Afghanistan Country Pages (IMF Website)","",""
