"Table 8.2","","","","","Table 8.3","","","",""
"","Distribution of Banks, Bank Branches","","","Composition of Assets and Liabilities of","","","","",""
"and Other Banking Outlets","","","","","the Banking Sector","","","",""
"","End","End","","","","","","",""
"Category","","","","2020 (a)","","2021 (b)","","Change (%)",""
"","2020 (a)","2021 (b)","","","","","","",""
"","","","Item","","Share","","Share","2020","2021"
"Licensed Commercial Banks (LCBs)","","","","Rs. bn","","Rs. bn","","",""
"","","","","","(%)","","(%)","(a)","(b)"
"I. Total No. of LCBs","24","24","","","","","","",""
"","","","Assets","","","","","",""
"Domestic banks","13","13","","","","","","",""
"","","","Loans and Advances","9,091.7","62.0","10,479.7","61.9","11.9","15.3"
"Foreign banks","11","11","","","","","","",""
"","","","Investments","4,195.8","28.6","4,885.6","28.9","40.0","16.4"
"II. Total No. of LCB Banking Outlets","6,702","6,614","","","","","","",""
"","","","Other (c)","1,378.8","9.4","1,558.3","9.2","-1.8","13.0"
"Branches (c)","2,915","2,919","","","","","","",""
"","","","Liabilities","","","","","",""
"Domestic Banks","2,869","2,874","","","","","","",""
"","","","Deposits","11,140.9","76.0","12,671.3","74.9","21.6","13.7"
"Foreign Banks","46","45","","","","","","",""
"","","","Borrowings","1,692.2","11.5","2,181.2","12.9","0.8","28.9"
"Student Savings Units","3,787","3,695","","","","","","",""
"","","","Capital Funds","1,254.2","8.6","1,464.4","8.7","11.0","16.8"
"III.Automated Teller Machines","5,744","5,891","Other","578.9","3.9","606.6","3.6","5.0","4.8"
"Licensed Specialised Banks (LSBs)","","","Total Assets/ Liabilities","14,666.3","100.0","16,923.6","100.0","17.1","15.4"
"I. Total No. of LSBs","6","6","(a) Revised","","","","Source: Central Bank of Sri Lanka","",""
