"","","","","","","","","","Value (Rs. million)","","","","","","","","","","Value"
"","","","","","","","","","","","","","","","","","","","(US$"
"Period","","","Spices","","","","Unmanu-","","","","","Minor Agricultural Products","","","","","","","million)"
"","","","","","","Vegetables","factured","","","","","","","","","","","Total",""
"","","","","Nutmeg","Other","","","","","Sesame","","","","Betel","Essential","Cashew","","",""
"","Cinnamon Pepper","","Cloves","","","","Tobacco","Fruits","Cereals","","Cocoa","Coffee","Arecanuts","","","","Other","","Total"
"","","","","and Mace","Spices","","","","","Seeds","","","","Leaves","Oils","Nuts","","",""
"2017","33,342","13,462","7,247","5,366","2,578","4,342","5,566","6,325","960","311","77","29","5,744","3,164","728","144","3,664","93,049","610"
"2018","37,315","12,620","2,710","4,681","1,373","4,595","5,792","6,346","1,160","786","114","47","2,864","2,616","624","135","4,447","88,225","542"
"2019","33,583","9,031","5,463","6,396","1,458","5,721","6,204","7,344","1,010","10","197","63","3,828","3,406","633","127","4,875","89,350","499"
"2020","42,131","9,682","2,996","5,379","1,634","6,773","4,729","6,136","1,666","3","121","59","8,376","2,943","877","100","4,639","98,245","530"
"2021 (a)","49,893","23,679","6,981","7,886","2,016","5,684","6,278","7,565","2,074","735","67","62","8,650","3,077","1,102","110","6,203","132,062","664"
"2019         1st    Quarter","8,140","1,505","3,410","1,065","374","1,453","1,338","1,895","279","1","76","14","340","866","171","29","1,214","22,171","123"
"2nd   Quarter","6,262","1,539","1,130","1,811","346","1,388","1,609","1,673","226","1","48","20","378","577","160","34","1,295","18,495","105"
"3rd    Quarter","9,496","3,696","521","2,172","382","1,444","1,635","1,764","237","7","34","19","832","702","154","46","1,154","24,296","136"
"4th    Quarter","9,685","2,291","402","1,347","355","1,436","1,623","2,013","268","1","38","10","2,279","1,262","148","17","1,213","24,388","135"
"2020         1st    Quarter","6,543","857","844","654","412","1,244","803","1,552","319","1","42","8","2,907","1,116","120","17","1,137","18,575","102"
"2nd   Quarter","7,383","2,146","639","1,309","324","1,317","970","1,517","411","…","21","9","2,444","403","163","6","871","19,933","106"
"3rd    Quarter","15,656","3,234","826","1,970","407","2,716","1,875","1,708","443","1","31","29","2,867","755","312","39","1,295","34,163","184"
"4th    Quarter","12,550","3,445","687","1,446","492","1,495","1,080","1,360","493","1","27","13","159","669","283","37","1,337","25,574","138"
"2021 (a)    1st    Quarter","11,592","5,810","2,905","1,248","488","1,266","1,676","1,639","457","3","33","14","1,390","901","243","49","1,470","31,185","161"
"2nd   Quarter","8,019","4,291","1,898","1,810","518","1,124","1,499","1,672","325","...","5","11","1,719","360","251","30","1,295","24,827","125"
"3rd    Quarter","15,100","5,061","1,277","2,780","434","1,625","1,282","2,095","546","400","14","16","3,158","709","256","26","1,628","36,406","181"
"4th    Quarter","15,182","8,517","901","2,048","576","1,669","1,822","2,158","746","331","16","22","2,383","1,108","353","5","1,810","39,645","197"
"2020         January","2,489","332","251","291","170","479","296","631","76","…","14","4","981","448","38","7","404","6,911","38"
"February","2,364","348","363","157","153","430","314","526","165","…","16","2","1,118","375","42","10","412","6,796","37"
"March","1,689","177","229","206","88","335","193","396","77","…","12","3","808","293","41","1","321","4,868","26"
"April","1,797","166","117","209","36","239","310","406","96","-","4","1","235","71","23","2","116","3,828","20"
"May","2,042","708","332","417","120","352","415","499","159","…","6","2","787","89","48","3","317","6,297","34"
"June","3,544","1,272","190","682","167","726","245","612","156","…","11","6","1,421","243","91","1","438","9,808","53"
"July","4,800","1,340","390","941","137","1,328","462","620","143","1","8","15","1,559","213","128","27","536","12,648","68"
"August","5,580","838","254","561","112","956","910","537","138","…","8","5","988","144","64","6","341","11,443","62"
"September","5,275","1,057","182","467","158","433","503","551","162","…","15","9","320","397","120","6","418","10,073","54"
"October","4,511","792","208","465","217","809","376","473","123","-","15","5","111","307","89","13","472","8,985","49"
"November","4,422","1,062","160","463","131","374","234","410","189","1","7","3","47","212","82","10","437","8,244","45"
"December","3,617","1,591","320","518","144","313","470","477","180","-","4","5","1","150","112","14","428","8,344","45"
"2021 (a)    January","5,105","1,699","742","318","145","316","419","505","149","…","11","2","109","214","87","14","446","10,280","54"
"February","3,162","1,640","1,006","526","93","297","468","488","144","…","7","7","421","246","87","7","385","8,985","46"
"March","3,325","2,471","1,157","404","250","653","789","646","164","3","15","5","860","441","69","28","640","11,920","61"
"April","1,769","1,632","643","262","112","368","539","555","77","…","3","3","681","153","49","4","394","7,242","37"
"May","2,667","828","513","845","166","380","346","552","138","-","1","4","655","97","93","6","427","7,720","39"
"June","3,583","1,831","742","703","241","376","614","565","110","…","1","4","383","110","108","20","474","9,864","49"
"July","5,701","1,615","483","1,201","169","802","530","794","275","126","3","5","772","274","78","19","675","13,521","68"
"August","4,363","1,933","423","1,097","137","446","530","709","128","208","3","7","1,486","106","75","5","416","12,073","60"
"September","5,035","1,513","371","482","127","377","222","592","143","67","8","5","900","329","102","2","537","10,812","54"
"October","6,172","1,870","312","532","133","486","368","636","354","44","6","10","1,054","271","63","1","575","12,887","64"
"November","4,848","3,277","365","635","286","728","1,035","810","271","211","7","6","762","538","169","2","644","14,593","72"
"December","4,162","3,370","224","880","156","456","418","713","120","76","3","7","567","299","121","2","591","12,165","60"
"(a) Provisional","","","","","","","","","","","","","","","","","","Source:  Sri Lanka Customs",""
