"","","","Performance of the Port Services","","","","","","",""
"Item","2012","2013","2014","2015","2016","2017","2018","2019","2020 (a)","2021 (b)"
"1.  Vessels Arrived (No.)","4,134","3,976","4,264","4,728","4,998","4,879","4,874","4,697","4,337","4,180"
"Colombo","3,870","3,667","3,742","4,197","4,405","4,329","4,331","4,198","3,806","3,675"
"Galle","69","36","60","72","96","87","84","43","22","14"
"Trincomalee","161","134","127","164","216","233","189","142","135","117"
"Hambantota","34","139","335","295","281","230","270","314","374","374"
"2.  Total Cargo Handled (mt ‘000)","64,970","66,243","74,410","77,579","86,519","93,857","104,934","106,979","102,908","109,369"
"Colombo","61,669","63,482","70,794","73,718","81,879","89,035","100,151","101,926","97,681","103,824"
"Galle","422","207","394","542","771","712","729","510","404","106"
"Trincomalee","2,859","2,435","2,748","3,027","3,514","3,897","3,560","3,304","3,072","3,190"
"Hambantota","20","119","474","293","355","213","494","1,239","1,750","2,249"
"3.  Total Container Traffic (TEUs ‘000) (c)","4,187","4,306","4,908","5,185","5,735","6,209","7,047","7,228","6,855","7,249"
"4.  Transshipment Containers (TEUs ‘000) (c)","3,167","3,274","3,781","3,967","4,435","4,826","5,704","5,955","5,765","6,050"
"5.  Total Revenue (SLPA) (Rs. million)","37,120","35,200","36,776","40,164","42,994","42,514","50,124","40,770","38,931","45,455"
"6.  Operating Expenditure (SLPA) (Rs. million)","31,153","30,665","24,930","30,985","28,660","27,919","29,980","37,410","29,716","32,899"
"7.  Employment (No.) (d)","10,200","9,886","9,598","9,550","9,651","9,377","9,710","9,937","9,484","9,203"
"Colombo","9,325","9,014","8,747","8,725","8,856","8,588","8,910","8,975","8,567","8,285"
"Galle","391","378","373","355","348","351","362","384","339","331"
"Trincomalee","436","426","419","417","402","401","400","400","387","381"
"Hambantota","48","68","59","53","45","37","38","178","191","206"
