"","","","","Broad Money (M2b)","","","","","","Net Foreign Assets (b)","",""
"","","","","","Time and Savings Deposits (d)","","Total","","","","",""
"","","Narrow Money (M1) (c)","","","","","","","","Commercial Banks","","Total Net"
"End","","","Total Narrow","","","","Broad","Monetary","","","",""
"","","","","","","Total Time","","","","","Total","Foreign"
"of","","","","","","","Money","Authorities","","","",""
"","","Demand","Money","","","and Savings","","","","","Commercial",""
"Period","Currency","","","DBUs","OBUs","","","","DBUs","OBUs","","Assets"
"","","","","","","","","(e)","","","",""
"","","Deposits","","","","Deposits","(M2b)","","","","Banks",""
"","","","(M1)","","","","","","","","",""
"","","","","","","","","","","","","(8)+(11)"
"","","","","","","(4)+(5)","(3)+(6)","","","","(9)+(10)",""
"","","","(1)+(2)","","","","","","","","",""
"","(1)","(2)","(3)","(4)","(5)","(6)","(7)","(8)","(9)","(10)","(11)","(12)"
"2017","439,396","353,903","793,299","5,298,564","216,198","5,514,762","6,308,062","846,139","-290,761","-433,840","-724,601","121,538"
"2018","473,066","357,727","830,793","6,071,118","226,386","6,297,503","7,128,297","750,541","-341,769","-475,779","-817,548","-67,007"
"2019","494,208","371,259","865,467","6,517,917","240,737","6,758,654","7,624,121","895,997","-369,636","-425,659","-795,296","100,702"
"2020","641,010","536,140","1,177,150","7,911,168","317,416","8,228,584","9,405,734","526,779","-427,146","-309,101","-736,247","-209,468"
"2021","784,450","675,446","1,459,895","8,918,875","268,538","9,187,413","10,647,309","-387,263","-381,514","-213,200","-594,713","-981,976"
"2020   January","491,712","367,320","859,032","6,616,580","228,164","6,844,744","7,703,776","925,923","-361,148","-475,302","-836,450","89,473"
"February","504,759","361,440","866,199","6,692,161","234,642","6,926,803","7,793,001","970,984","-398,100","-475,501","-873,601","97,383"
"March","567,970","396,786","964,756","6,868,918","264,575","7,133,493","8,098,249","943,529","-413,251","-502,159","-915,410","28,119"
"April","597,968","394,534","992,502","6,979,805","286,690","7,266,495","8,258,997","949,121","-402,663","-462,965","-865,628","83,493"
"May","598,359","393,419","991,778","7,024,993","276,349","7,301,342","8,293,120","817,817","-394,129","-472,529","-866,658","-48,841"
"June","579,490","422,361","1,001,851","7,098,219","264,678","7,362,898","8,364,748","824,638","-376,459","-459,884","-836,343","-11,705"
"July","592,385","432,204","1,024,589","7,204,054","278,749","7,482,804","8,507,393","785,202","-406,261","-427,839","-834,100","-48,899"
"August","595,993","462,468","1,058,461","7,341,047","292,513","7,633,560","8,692,021","822,435","-435,567","-406,440","-842,007","-19,572"
"September","597,951","459,413","1,057,364","7,520,708","292,358","7,813,066","8,870,430","758,552","-407,703","-416,735","-824,438","-65,886"
"October","614,831","470,903","1,085,734","7,640,422","291,324","7,931,746","9,017,480","574,153","-403,885","-416,846","-820,731","-246,578"
"November","618,037","476,944","1,094,981","7,743,970","296,683","8,040,654","9,135,635","540,147","-422,287","-399,063","-821,350","-281,203"
"December","641,010","536,140","1,177,150","7,911,168","317,416","8,228,584","9,405,734","526,779","-427,146","-309,101","-736,247","-209,468"
"2021   January","645,946","537,188","1,183,134","8,027,096","322,467","8,349,563","9,532,697","417,927","-476,046","-262,963","-739,010","-321,082"
"February","659,059","540,885","1,199,944","8,140,280","310,682","8,450,962","9,650,906","393,859","-484,133","-295,423","-779,556","-385,697"
"March","672,841","559,973","1,232,814","8,283,172","322,650","8,605,823","9,838,637","341,034","-496,323","-274,661","-770,984","-429,950"
"April","684,179","560,021","1,244,200","8,383,620","319,514","8,703,135","9,947,334","342,923","-489,754","-283,858","-773,612","-430,689"
"May","692,032","554,519","1,246,551","8,453,898","332,525","8,786,422","10,032,973","349,094","-480,871","-297,116","-777,988","-428,894"
"June","711,870","581,460","1,293,330","8,549,669","321,763","8,871,433","10,164,763","306,556","-475,996","-311,905","-787,901","-481,346"
"July","722,925","594,034","1,316,960","8,669,912","316,718","8,986,630","10,303,589","10,254","-433,362","-276,266","-709,628","-699,373"
"August","750,196","605,001","1,355,196","8,826,003","332,445","9,158,448","10,513,644","-83,881","-345,316","-271,758","-617,074","-700,955"
"September","762,011","556,737","1,318,748","8,866,196","303,156","9,169,352","10,488,100","-158,710","-381,577","-181,848","-563,425","-722,135"
"October","754,233","618,438","1,372,671","8,910,123","298,936","9,209,058","10,581,730","-252,574","-358,154","-225,834","-583,988","-836,562"
"November","735,007","620,110","1,355,117","8,892,775","297,893","9,190,668","10,545,785","-329,911","-382,968","-193,468","-576,436","-906,347"
"December","784,450","675,446","1,459,895","8,918,875","268,538","9,187,413","10,647,309","-387,263","-381,514","-213,200","-594,713","-981,976"
"(a)  M2b is based on the aggregated data pertaining to the Central Bank and both Domestic Banking Units (DBUs)","","","","","","(ii)   All Resident Non National Foreign Currency (RNNFC) balances are treated as foreign liabilities","","","","","","(Contd.)"
