"","","Approvals","Contracted","","Approvals","","Contracted","","Approvals","","Contracted","","Approvals","","Contracted",""
"","2020","2021","2020","2021","2020","2021","2020","2021","2020","2021","2020","2021","2020","2021","2020","2021"
"","(a)","(b)","(a)","(b)","(a)","(b)","(a)","(b)","(a)","(b)","(a)","(b)","(a)","(b)","(a)","(b)"
"Food, Beverages and Tobacco Products","3","3","2","2","-","586","-","-","764","1,605","460","884","216","280","86","300"
"Textile, Wearing Apparel and Leather","","","","","","","","","","","","","","","",""
"","3","5","6","2","-","10,282","1,836","151","1,248","14,159","3,304","706","1,788","1,605","3,843","1,442"
"Products","","","","","","","","","","","","","","","",""
"Wood and Wood Products","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Paper Products, Publishing and Printing","-","1","-","-","-","-","-","-","-","282","-","-","-","54","-","-"
"Chemical, Petroleum, Coal,","","","","","","","","","","","","","","","",""
"","4","2","1","3","54,967","2,357","54,900","2,424","55,362","4,897","54,900","4,099","2,096","779","2,000","671"
"Rubber and Plastic Products","","","","","","","","","","","","","","","",""
"Non-metallic Mineral Products","-","2","-","-","-","106","-","-","-","3,413","-","-","-","583","-","-"
"Fabricated Metal Products,","","","","","","","","","","","","","","","",""
"","-","4","1","1","-","935","100","127","-","41,736","100","260","-","576","55","28"
"Machinery and Transport Equipment","","","","","","","","","","","","","","","",""
"Manufactured Products (n.e.s.)","2","3","1","2","6,509","23,134","-","12,026","6,509","23,134","1,783","12,040","158","564","180","461"
"Services","19","17","18","11","202,848","281,796","57,272","4,811","212,503","313,955","117,844","20,438","2,983","4,760","5,021","628"
"Expanded Projects","130","102","93","72","34,911","28,737","17,234","22,858","146,027","112,755","118,809","78,114","7,015","17,089","4,671","12,947"
"Total","161  139","","122","93","","299,235   347,933","131,342","42,397","","422,413   515,935","297,201","116,542","14,256   26,290   15,856   16,477","","",""
"(a)   Revised","","","","","","","","","","","","Source: Board of Investment of Sri Lanka","","","",""
