"creating  inflows  are  in  place,  while  aligning  new","","","","","","","","",""
"","","","","","","","","","Rs. million"
"financing  requirements  arising  from  overall  fiscal","","","","","Item","2018","2019","2020","2021 (a)"
"deficit  in  line  with  resource  availability.  Given  the","","","","","","","","",""
"","","","","","Debt Service Payments","2,088,551","2,022,507","1,941,373","2,375,599"
"heightened debt related vulnerabilities, the country","","","","","","","","",""
"","","","","","Domestic","1,561,363","1,213,698","1,169,522","1,590,131"
"needs  sound","","liability  management  practices","","in","Foreign","527,188","808,809","771,851","785,468"
"line  with","","the  Medium  Term  Debt  Management","","","Amortisation Payments","1,236,361","1,121,155","961,071","1,327,216"
"Strategy","","(MTDS),  with  necessary","revisions,","to","Domestic","921,881","546,315","455,899","795,498"
"","","","","","Foreign","314,480","574,839","505,172","531,718"
"guide","effective","debt  management","operations","","","","","",""
"","","","","","Interest Payments","852,190","901,353","980,302","1,048,383"
"towards","debt","stabilisation.  Current","efforts","on","","","","",""
"","","","","","Domestic","639,482","667,383","713,623","794,633"
"debt  restructuring  are  also  critical  to  reduce  the","","","","","","","","",""
"","","","","","Short Term","74,525","81,029","77,965","98,694"
"debt  burden  in  the  near  term  by  smoothing  the","","","","","","","","",""
"","","","","","Medium and Long Term","564,957","586,354","635,658","695,939"
"debt  service  payments  over  a  longer  period.  In","","","","","Foreign","212,708","233,970","266,679","253,750"
"the  meantime,  reducing  the  deficit  in  the  current","","","","","(a)  Provisional","","","Sources: Ministry of Finance",""
