"","","No. 2270/19)."
"","and dried) and Apples",""
"","Ports and Airports Development Levy (PAL)",""
"22 February 2021","-","PAL on milk and cream, concentrated or containing added sugar or other sweetening"
"","","matter  (the  products  under  HS  codes  0402.10.00,  0402.21.00,  0402.29.00)"
"","","was reduced to 2.5 per cent from 10 per cent (Extraordinary Gazette Notification"
"","","No. 2216/3)."
"09 March 2021","-","Importation of project related capital goods by any enterprise, which has entered into"
"","","an agreement with the BOI, for the use in any project of such enterprise having a"
"","","stage wise capital investment of not less than US dollars 50 million during the project"
"","","implementation or construction period and prior to the commencement of commercial"
"","","operations except any project approved under the Commercial Hub Regulations and"
"","","Strategic Development Project (SDP) Act, No. 14 of 2008, was exempted from PAL"
"","","(Extraordinary Gazette Notification No. 2218/51)."
"19 March 2021","-","Importation of furnace oil by the Ceylon Petroleum Corporation, specifically for the"
"","","production  of  bitumen  on  the  recommendation  of  the  Secretary  to  the  Ministry  in"
"","","charge of the subject of Petroleum, subject to the approval of the Director General of"
"","","Customs, was exempted from PAL (Extraordinary Gazette Notification No. 2219/68)."
