"","Deposits and Advances of District Co-operative Rural Banks’ Unions (2013-2021) and","","","","",""
"","","District-wise Classification for 2021","","","",""
"","","","Deposits","","Advances","Difference between"
"","No. of Bank","","","","",""
"","","","","","","Deposits and Advances"
"","Union Offices","","","","",""
"End of Period","","No. of M.P.C.S.*","","Amount (Rs. mn)","Amount (Rs. mn)","(Rs. mn)"
"","(1)","(2)","","(3)","(4)","(3)-(4)=(5)"
"2013 Dec.","13","305","","13,306.3","3,237.6","10,068.8"
"2014 Dec.","13","305","","18,958.2","3,334.7","15,623.4"
"2015 Dec.","14","305","","21,321.3","3,657.4","17,664.0"
"2016 Dec.","15","304","","22,201.2","5,407.3","16,793.9"
"2017 Dec.","16","304","","24,422.6","3,386.8","21,035.8"
"2018 Dec.","16","304","","26,180.8","5,611.0","20,569.9"
"2019 Dec. (a)","16","304","","24,422.6","3,386.8","21,035.8"
"2020 Dec.","n.a.","n.a.","","n.a.","n.a.","n.a."
"2021 Dec.","n.a.","n.a.","","n.a.","n.a.","n.a."
"DISTRICT","","","","","",""
"Colombo","1","11","","1,249.7","194.0","1,055.7"
"Gampaha","1","17","","3,830.2","1.9","3,828.3"
"Kalutara","1","10","","452.0","74.8","377.2"
"Kandy","","22","","","",""
"Matale","1","9","","348.0","101.3","246.7"
"Nuwara Eliya","","10","","","",""
"Galle","1","18","","2,221.5","218.5","2,003.0"
"Matara","1","9","","1,441.0","66.0","1,375.0"
"Hambantota","1","7","","2,076.6","18.9","2,057.8"
"Jaffna","1","24","","17.7","-","17.7"
"Mannar","-","7","","-","-","-"
"Vavuniya","-","4","","-","-","-"
"Mullativu","","6","","","",""
"","1","","","8.1","-","8.1"
"Killinochchi","","6","","","",""
"Batticaloa","1","16","","2.3","1.9","0.3"
"Ampara","-","19","","-","-","-"
"Trincomalee","-","11","","-","-","-"
"Kurunegala","","21","","","",""
"","1","","","10,077.2","1,391.5","8,685.7"
"Puttalam","","12","","","",""
"Anuradhapura","1","17","","356.0","333.0","23.0"
"Polonnaruwa","1","9","","690.1","449.8","240.4"
"Badulla","","11","","","",""
"","1","","","15.4","8.0","7.3"
"Monaragala","","5","","","",""
"Kegalle","1","10","","88.7","49.4","39.3"
"Ratnapura","1","13","","1,548.1","477.7","1,070.4"
"TOTAL","16","304","","24,422.6","3,386.8","21,035.8"
"(a) Provisional","","","","","","Source: Co-operative Development Department"
