"","","","","","","","","","","Est. Employment"
"","No. of Projects","","","","Estimated Investment (Rs. million)","","","","",""
"","","","","","","","","","","(No.)"
"","2020","2021","","2020 (a)","","","2021 (b)","","",""
"","","","","","","","","","2020 (a)","2021 (b)"
"","(a)","(b)","Foreign","Local","Total","Foreign","Local","Total","",""
"BOI  (Under Act No. 4 of 1978)","","","","","","","","","",""
"Projects Approved","162","144","300,608","123,178","423,786","348,926","168,451","517,377","14,376","26,463"
"Under Section 17 (c)","161","139","299,236","123,178","422,413","347,933","168,002","515,935","14,256","26,290"
"Under Section 16","1","5","1,373","-","1,373","993","449","1,442","120","173"
"Projects Contracted Under Section 17 (c)","122","93","131,342","165,858","297,201","42,397","74,144","116,542","15,856","16,477"
"Realised Investment Under Section 17 (d)(e)","1,943","1,875","2,105,156","1,812,278","3,917,434","2,258,989","2,021,406","4,280,395","n.a","n.a"
"Projects in Commercial Operations (d)","2,651","2,735","606,527","975,024","1,581,551","651,662","1,057,348","1,709,010","441,936","459,828"
"Under Section 17 (c)","2,116","2,216","580,734","966,286","1,547,021","626,170","1,046,161","1,672,331","413,280","431,550"
"Under Section 16","535","519","25,793","8,738","34,530","25,492","11,187","36,679","28,656","28,278"
"Ministry of Industries","","","","","","","","","",""
"Companies Registered (d)","3,020","3,259","-","-","208,934","-","-","209,366","-","n.a."
"(a) Revised","","","","","","","","","",""
