"","","","","","","Page"
"","Population","…","…","…","…","92"
"","Labour Force","…","…","…","…","92"
"","Employment","…","…","…","…","93"
"","Unemployment","…","…","…","…","93"
"","Foreign Employment","…","…","…","…","94"
"","Labour Productivity","…","…","…","…","95"
"3. ECONOMIC AND SOCIAL INFRASTRUCTURE","","","","","",""
"3.1","Overview","…","…","…","…","97"
"3.2","Economic Infrastructure Policies, Institutional Framework and Performance","","","…","…","98"
"","Petroleum","…","…","…","…","98"
"","Electricity","…","…","…","…","103"
