"(ii) Ongoing Projects
III. Other
   (i)  Ongoing Projects
57.     EVENTS OCCURING AFTER THE REPORTING DATE 
 
 
 
There  were  no  material  events  occurring  subsequent  to  reporting  date  that  require  adjustment  or  disclosure  in  the 
financial statements.","","","","","",""
"","Name	of	the	Project/	Loan	
Scheme","Total Allocation of the 
Fund (Mn.)","","Objective/s","Refinance	
Granted to PFIs 
(Rs. Mn.)",""
"","Tea Development Project - Revolving 
Fund","LKR","1,100.00  Develop  the Tea Sector in the Industries.","","964.87",""
"","Swashakthi Loan Scheme","LKR","4,000.00  Support new & existing Entrepreneurs while expanding the Employment Opportunities.","","2,576.89",""
"","""Athwela"" - Resumption of Economic 
Activities affected by Disasters 
(READ)","LKR","","2,000.00  Support to resume any eligible economic activity affected by any disaster as informed by the GOSL.","1,687.52",""
"","Poverty Alleviation Micro-finance 
Project RF (Probodini)","LKR","","1,031.00  Assist to set up an effective Credit Delivery Mechanism for income generating activities conducted by the 
Low Income Group/ Community who are unable to access the formal financial sector facilities.","5,284.56",""
"","Smallholder Agribusiness 
Partnership Programme (SAPP) 
4P Agribusiness","USD","30.29","Contribute to Sri Lanka’s Smallholders’ Poverty Reduction & Competitiveness & Increase the Income 
& Quality of diet of 57,500 Smallholders involved in commercially oriented Production & Marketing 
Systems, achieving through a Process of forming & building capacity of Producer Groups, Organizations & 
strengthening the Network under the Partnerships with the Private Sector.","-",""
"","Smallholder Agribusiness 
Partnership Programme (SAPP) 
4P Youth","","","","",""
"","Smallholder Agribusiness 
Partnership Programme (SAPP) 
RF Youth","","","","",""
"","Smallholder Agribusiness 
Partnership Programme (SAPP) 
RF Agri Business","","","","",""
"","Smallholder Agribusiness 
Partnership Programme (SAPP) 
 RF Income Generation","","","","",""
"","Self Employment Promotion 
Initiative Phase II (SEPI II)","LKR","","950.00  Support starting of a New Business or expanding the existing Business of Youth who have completed 
Certificate or Diploma in National Vocational Qualification (NVQ)","409.54",""
"","","","","","",""
"","Name	of	the	Project/	Loan	
Scheme","Total Allocation of the 
Fund (Mn.)","","Objective/s","Refinance	
Granted to PFIs 
(Rs. Mn.)",""
"","Viskam (Special Loan Scheme for 
Agriculture Sector Development)","LKR","","1,325.60  Ensure the availability of Credit for Investment, Diversification and Improvement of commercial agri-
businesses.","881.00",""
"","","","","","",""
