"","","","In Rupees per unit of Foreign Currency","","","","","Percentage Change over Previous Year (a)","",""
"Currency","","End Year Rate","","","Annual Average Rate","","End Year","","Annual Average",""
"","2019","2020","2021","2019","2020","2021","2020","2021","2020","2021"
"Euro","203.67","229.42","226.86","200.14","212.07","235.10","-11.23","1.13","-5.62","-9.80"
"Indian Rupee","2.55","2.55","2.69","2.54","2.50","2.69","0.00","-5.45","1.46","-6.95"
"Japanese Yen","1.67","1.81","1.74","1.64","1.74","1.81","-7.54","3.82","-5.65","-3.96"
"Pound Sterling","238.46","254.35","270.60","228.20","238.22","273.51","-6.25","-6.00","-4.21","-12.90"
"US Dollar","181.63","186.41","200.43","178.78","185.52","198.88","-2.56","-7.00","-3.64","-6.72"
"Special Drawing Rights (SDR)","251.17","268.48","280.53","246.97","258.61","283.18","-6.45","-4.29","-4.50","-8.68"
"Effective Exchange","","","","","","","","Percentage Change over Previous Year","",""
"","","End Year Index","","","Annual Average Index","","","","",""
"Rate Indices (b) (c)","","","","","","","End Year Index","","","Annual Average Index"
"(2017=100)","2019","2020","2021","2019","2020","2021","2020","2021","2020","2021"
"NEER 24-currencies","86.74","83.12","79.65","88.17","85.93","78.64","-4.17","-4.18","-2.54","-8.48"
"REER 24-currencies","90.74","88.37","86.06","90.42","91.52","86.13","-2.61","-2.61","1.22","-5.90"
"(a)   Changes computed on the basis of foreign currency equivalent of Sri Lanka rupees.  The sign (-) indicates depreciation of Sri Lanka rupee","","","","","","","","","Source: Central Bank of Sri Lanka",""
