"","","MAJOR ECONOMIC POLICY MEASURES : 2022"
"","-","Issuance  of  instructions  to  banks  on  participation  at  the  USD/LKR  buy-sell  and"
"","","sell-buy, foreign exchange swaps auctions of the Central Bank."
"24 February 2023","-","Reduction of weekly mandatory foreign exchange sales to the Central Bank by licensed"
"","","banks on account of converted inward workers’ remittances, converted service sector"
"","","related exports proceeds/receipts, and the residual value of mandatorily converted"
"","","export proceeds of goods from 25 per cent to 15 per cent, effective from 27 February"
"","","2023, in order to encourage market driven foreign exchange activities in the domestic"
"","","foreign exchange market."
"27 February 2023","-","Directions No. 01 of 2023 were issued permitting ADs to open and maintain SFCA -"
"","","Investee, out of proceeds received, being an investment into the share capital of the"
"","","company from a non-resident investor, provided the investee has future requirements"
"","","to meet payments for current transactions and repayments of foreign currency loans"
"","","or/and accommodations obtained under the provisions of the Foreign Exchange Act,"
"","","No. 12 of 2017."
"03 March 2023","-","Revocation of the Operating Instructions were issued by the Central Bank to licensed"
"","","banks on “Managing Intraday Volatility of the Exchange Rate” on 12 May 2022."
"","-","Revocation of the Operating Instructions were issued by the Central Bank to licensed"
"","","banks on “Incentive Scheme on Inward Worker Remittances” and “Repatriation of Export"
"","","Proceeds into Sri Lanka”, on 27 January 2021 and 18 February 2021, respectively,"
"","","as amended subsequently."
"","Import and Export Controls",""
"11 January 2022","-","Imports and Exports (Control) Regulations No. 03 of 2022 (published in the Gazette"
"","","Extraordinary No. 2262/18) were issued,"
