"Schedule 2: For value date 11.05.2022","",""
"TIME","EVENT","ACTIVITIES /TRANSACTIONS"
"1200 hrs. to","System start-up","Start-up of RTGS/SSS applications."
"1215 hrs.","",""
"1215 hrs. to","Start of day processing","Update Official Prices of securities, earmarking securities for ILF."
"1230 hrs.","",""
"1230 hrs.","LankaSettle System opens for","System opens for effecting transactions of 11.05.2022."
"","business for 11.05.2022",""
"1230 hrs.","ILF/Auto reversal of Repos and","Grant ILF and settle second leg of Repos of OMO and SDF"
"","Standing Deposit Facility (SDF)",""
"1245 hrs.","Maturities/Interest payments, start of","Settlement  of  maturity  proceeds/coupon  payments  of  securities,"
"","the day (SOD) file and maturities of","effecting  LankaSettle  charges/penalties  and  maturities  of  CBSL"
"","CBSL Securities","Securities."
"1300 hrs.","Multilateral Net Settlement (MLNS)","Main Clearing of CITS. (of 11.05.2022)"
"","Batch from LankaClear","SLIPS Cycles 1 & 2 (of 11.05.2022)"
"1315 hrs.","MLNS Batch from LankaClear","CAS Cycles 1& 2 (of 11.05.2022)"
"1330 hrs.","MLNS Batch from LankaClear","CEFTS Cycles 1& 2 (of 11.05.2022)"
"","","CPS Cycles 1& 2 (of 11.05.2022)"
"1345 hrs.","Reversal of Reverse Repos and","Settlement of second leg of Reverse Repos under OMO and SLF."
"","Standing Lending Facility (SLF)","(to be matured on 11.05.2022)"
"1400 hrs.","MLNS Batch from LankaClear","CAS Cycle 3 (of 11.05.2022)"
"","","CEFTS Cycle 3 (of 11.05.2022)"
"","","CPS Cycle 3 (of 11.05.2022)"
"1430 hrs","Short Term Repos/ Rev.Repo","Settlement of First Log of Short Term Repos/ Revers Repos under"
"","(Auction)","OMO"
"1445 hrs.","MLNS Batch from LankaClear","Settlement Clearing and Adjustment Clearing. (of 11.05.2022)"
"1500 hrs.","Primary cut-off time for third party","Close for new transactions (for T + 0) in favour of third parties,"
"","transactions","except for bank-to-bank (MT2XX) series. (for 11.05.2022)"
"1500 hrs.","MLNS Batch from LankaClear","SLIPS Cycle 3 (of 11.05.2022)"
"","","CAS Cycle 4 (of 11.05.2022)"
"1515 hrs.","MLNS Batch from LankaClear","CEFTS Cycle 4 (of 11.05.2022)"
"","","CPS Cycle 4 (of 11.05.2022)"
"1530 hrs.","Cut-off time for standing facilities","SLF and SDF windows are closed for Participants at 1530 hrs."
"1545 hrs.","Cut-off time for Participant managed","Participants should not initiate ILF Repos after 1545 hrs."
"","ILF Repo creation",""
"1545 hrs.","MLNS Batch from LankaClear","CAS Cycle 5 (of 11.05.2022)"
"","","CEFTS Cycle 5 (of 11.05.2022)"
"","","CPS Cycle 5 (of 11.05.2022)"
"1545 hrs.","SDF","Settlement of first leg of SDF"
"1600 hrs.","SLF","Settlement of first leg of SLF."
"1615 hrs.","ILF Repayment","Repayment of ILF."
"1630 hrs.","Final Cut-off Time","No further inputs are accepted.  With the closure of system"
"","Closure of System for business","for business, queue/Settlement processing will cease and any"
"","","transactions still in queues will be rejected by the system."
"1630 hrs.    to","EOD processing","End-of-day 
(EOD)  processes  e.g.  generate 
reports/GL  export"
"1700 hrs.","","(EOD)  file,  database  maintenance  for  billing/statement  printing"
"","","purposes."
"1700 hrs.","System shut down","Commence shutting down of RTGS/SSS application software,"
"","","obtain off-line backups."
