"","","","","Table II – 16","","","",""
"","","Postgraduate Studies under the Central Bank Sponsorship Scheme","","","","","",""
"","","","Postgraduate Studies","","","","Total",""
"","","PhD","","","Master’s Degree","","",""
"Year","","","","","","","",""
"","","","","","","Commenced","","Completed*"
"","Commenced","","Completed*","Commenced","Completed*","","",""
"2018","8","","1","8","14","16","","15"
"2019","4","","1","7","7","11","","8"
"2020","2","","5","6","8","8","","13"
"2021","1","","4","1","6","2","","10"
"2022","-","","1","2","1","2","","2"
"Total","15","","12","24","36","39","","48"
"","*   Returned after completion of postgraduate studies","","","","","","",""
"Central Bank of Sri Lanka Annual Report - 2022","","","","","","","","Part II - 103"
