"As at 31","United","Euro","Japanese","Sterling
SDR","Australian","Canadian","New 
Other","Total"
"December","States","","Yen","Pound","Dollars","Dollars","Zealand
Currencies","All"
"2022","Dollars","","","","","","Dollars","Currencies"
"","Rs.  000","Rs.  000","Rs.  000","Rs.  000
Rs.  000","Rs.  000","Rs.  000","Rs.  000
Rs.  000","Rs.  000"
"Foreign Currency","","","","","","","",""
"Financial Assets","","","","","","","",""
"Cash & Cash","","","","","","","",""
"","118,593,473","2,002,372","130,117","373,692 
 -","62,567","17,653","10,635 
 531,342,187","652,532,696"
"Equivalents","","","","","","","",""
"Securities at Fair","","","","","","","",""
"Value through Other","","","","","","","",""
"","10,867,425","-","-","-   
 -","-","-","-   
 -","10,867,425"
"Comprehensive","","","","","","","",""
"Income","","","","","","","",""
"Derivative Financial","","","","","","","",""
"","-","-","-","-   
 -","-","-","-   
 401,580","401,580"
"Instruments","","","","","","","",""
"IMF Related Assets","-","-","-","-   
 281,421,082","-","-","-   
 -","281,421,082"
"Other  Receivables","63,061,108","-","-","-   
 -","-","-","-   
 -","63,061,108"
"Total Foreign","","","","","","","",""
"Currency","","2,002,372","130,117","373,692 
 281,421,082","62,567","17,653","10,635 
 531,743,767","1,008,283,891"
"","192,522,006","","","","","","",""
"Financial Assets","","","","","","","",""
"Proportion","19.09%","0.20%","0.01%","0.04%
27.91%","0.01%","0.01%","0.00%
52.74%","100%"
"Foreign Currency","","","","","","","",""
"Financial Liabilities","","","","","","","",""
"Banks and Financial","","","","","","","",""
"","146,407,286","-","-","687 
 -","55","-","-   
 -","146,408,028"
"Institutions","","","","","","","",""
"Derivative Financial","","","","","","","",""
"","-","-","-","-   
 -","-","-","-   
 71,697,994","71,697,994"
"Instruments","","","","","","","",""
"Asian Clearing","","","","","","","",""
"","736,258,128","-","-","-   
 -","-","-","-   
 -","736,258,128"
"Union","","","","","","","",""
"IMF","-","-","-","-     1,127,925,092","-","-","-   
 -","1,127,925,092"
"Other","74,083,264","-","-","-   
 -","12","-","-     520,300,174","594,383,450"
"Total Foreign","","","","","","","",""
"Currency Financial","","-","-","687   1,127,925,092","67","-","-     591,998,168","2,676,672,692"
"","956,748,678","","","","","","",""
"Liabilities","","","","","","","",""
"Proportion","35.74%","0.00%","0.00%","0.00%
42.14%","0.00%","0.00%","0.00%
22.12%","100%"
"Net Foreign","","","","","","","",""
"","(764,226,672)","2,002,372","130,117","373,005 
 (846,504,010)","62,500","17,653","10,635 
 (60,254,401)","(1,668,388,801)"
"Currency Exposure","","","","","","","",""
