"Name of the Project/ Loan","Total Allocation of 
Objective/s","Refinance"
"Scheme","the Fund (Mn.)","Granted to"
"","","PFIs (Rs. Mn.)"
"Tea Development Project","USD
 24.50  Increase income generating activities of Tea Small Holders and improve the contribution to","2,550.90"
"","the natural environment.",""
"Second Perennial Crop","SDR
 11.56  Commercialization of  perennial crops sector, increase production, nursery development, post","1,453.11"
"Development Project","harvest handling, processing and marketing.",""
"Plantation Sector Reform","USD
 40.00  Support policy and institutional reforms in the plantation sub-sectors to increase the productivity","5,200.00"
"Project","and profitability while maintaining competitive advantage of the Plantation Industry.",""
"Small Business Revival","LKR
 2,656.00   Resumption of Tsunami affected SMEs.","2,663.40"
"Programme","",""
"Small Business Revival","LKR
 150.00  Resumption of SMEs affected by Tsunami using recovery of Small Businesses.","122.72"
"Programme - Revolving Fund","",""
"Skill Development Project","LKR
 94.31  Improve the quality and reliance of Skill Development obtained by the Training Programmes","94.59"
"","to high quality workforce and address skill mismatching.",""
"Urban Environment","USD
 4.00  Improve Environmental facilities,health and sanitary conditions of the people living in the","369.15"
"Infrastructure Development","urban and semi-urban areas.",""
"Project","",""
"Housing Guarantee Low","USD
 25.00  Assist Low Income community to build houses/ renovate/ expand the existing.","1,362.00"
"Income Housing Shelter Project","",""
"Urban Development Low","SDR
 15.10  Support Low Income community to improve life style through building up of house.","1,915.76"
"Income Housing  Project","",""
"North Western Province","USD
 1.80  Improve Economic, Social and Nutritional well-being of the people in the North Western","102.76"
"-Water Resource","Province.",""
"Development Project","",""
"Matale Regional Economic","SDR
 2.00  Permanent rising and sustaining of Income of Small Entrepreneurs.","249.06"
"Advancement Project","",""
"Mid Country Perennial Crop","SDR
 11.56  Increase the production capacity of Perennial Crops in the Mid Country area.","642.00"
"Development Project","",""
"Agriculture Rehabilitation","SDR
 17.05  Rehabilitate persons and property, affected by the civil disturbances in the Northern and","843.00"
"Project","Eastern Provinces including five bordering Districts.",""
"Small Holder Tea","USD
 12.60  Develop Small Holder Tea Sector and rehabilitate tea facilities.","645.93"
"Development Project","",""
"Poverty Alleviation Micro-","YEN
 1,368.00  Setting up of an effective credit delivery mechanism for channelling formal credit to income","1,402.45"
"finance Project","generating activities.",""
"Small Farmers Landless Credit","USD
 17.40  Establish cost effective and sustainable micro credit delivery system to generate employment","345.69"
"Project","while improving saving habits among the Low Income Community.",""
"Kegale Integrated Rural","SDR
 1.50  Uplift the living standard of people by promoting income generating activities.","148.00"
"Development Project","",""
"Southern Province Rural","SDR
 27.90  Improve the quality of life and enhance the income generating activities of the people in the","564.00"
"Development Project","Southern Province.",""
"EIB Contract B","EUR
 10.00  Rehabilitate Small and Medium Size projects including Tourism and their service sectors","1,553.27"
"","directly affected by the Tsunami.",""
"Second Perennial Crops","LKR
 1,200.00  Develop the activities of Perennial Crops sector.","1,199.82"
"Development Project -","",""
"Revolving Fund","",""
"Matale Regional Economic","LKR
 77.00  Expand the Income Level of Rural and Farm Families and provide funds for Medium scale","77.00"
"Advancement Project -","Entrepreneurs to create Non-Farm Enterprises and expand existing projects in the Matale",""
"Revolving Fund","District.",""
"Sabaragamuwa Province","LKR
 100.00  Enhance and create existing/ new income generating activities in the Sabaragamuwa","100.00"
"Integrated Rural Development","Province.",""
"Project - Revolving Fund","",""
"Construction Sector","EUR
 9.00  Strengthening the Financial and Technical capacities of private local Businesses to effectively","1,399.73"
"Development Project","participate in construction and Public works relating to post Tsunami reconstruction.",""
"Sabaragamuwa Province","LKR
 70.00  Further enhance and start new Income generating activities in the Sabaragamuwa Province.","70.00"
"Integrated Rural Development","",""
"Project - Phase II","",""
"Poverty Alleviation Micro-","YEN
 2381.00  Enhance the Living Standard of Households whose monthly income is less than Rs. 15,000.","3,213.20"
"finance Project II (Probodini)","",""
"Self Employment Promotion","LKR
 250.00  Provide Financial Assistance to trained Youth who have completed the recognized","232.39"
"Initiative","Vocational Training to establish self employment income generating activities.",""
"Dry Zone Livelihood Support","LKR
 252.95  Provide opportunity to earn more income through Agriculture related activities in Anuradhapura,","252.95"
"& Partnership Programme","Moneragala, Kurunegala and Badulla Districts.",""
"National Agribusiness","USD
 32.90  Assist Smallholder producers and the Landless Community, especially considering the Youth","113.13"
"","to increase the income level through the market/ value chain development and provide",""
"Development Programme","",""
"","Finance and Training requirements for those people.",""
"Small Plantation","SDR
 2.60  Enhance the Living Standard of the Low Income Communities in Moneragala, Kandy,","487.66"
"Entrepreneurship","Kegalle and Nuwara-Eliya Districts.",""
"Development Project","",""
"National Agribusiness","LKR
 1,049.84  Improve Income Level and Social Conditions of Low Income Community","1,049.84"
"Development Programme","",""
"(NADeP) - Microfinance","",""
"Value Chain Development","LKR
 135.69  Increase the Production, Productivity, Quality and Value addition of Agriculture Produces.","135.69"
"Capital Agriculture Loan","",""
"Scheme under the ""Out","",""
"Grower Farmers Loan","",""
"Scheme"" of the National","",""
"Agribusiness Development","",""
"Programme (NADeP)","",""
