"","","","","","","","","","","","","",""
"","Date","Item","","","","","","","","Revision","","",""
"","18.05.2022","Red onions, garlic, peas (whole and split),","","","","","","","","","","",""
"","","chickpeas 
(whole 
and","","","","","","","","","","",""
"","","","","","","","","split), 
oranges","","","","",""
"","","","(dried), lemons (fresh and dried), quinces, 
chillies (dried, neither crushed nor ground),","","","","","","","","","",""
"","","","","","","","","","","Imposition  of  SCL  was  extended  for  a  period  of","","",""
"","","","chillies (crushed or ground), seeds of cumin","","","","","","","","","",""
"","","","","","","","","","","one 
year 
(Extraordinary  Gazette  Notification","","",""
"","","","(neither  crushed  nor  ground),  seeds  of","","","","","","","No. 2280/31).","","",""
"","","","","","","","","","","","","",""
"","","cumin","(crushed  and  ground),","","","","","seeds  of","","","","",""
"","","","fennel,  ground  nuts  (shelled),  margarine,","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","canned fish, and face masks","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","31.05.2022","","Yogurt,  butter,  dairy  spreads,  grated  or","","","","","","","SCL was increased for a period of six months with","","",""
"","","","","","","","","","","","","",""
"","","","powdered cheese of all kinds, dates (fresh","","","","","","","","","",""
"","","","","","","","","","","effect  from  01  June  2022  (Extraordinary  Gazette","","",""
"","","","and dried), oranges (fresh), grapes (fresh","","","","","","","","","",""
"","","","","","","","","","","Notification No. 2282/23).","","",""
"","","","and dried) and apples","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","15.06.2022","","Potatoes,  b'onions, 
clementines","","","","","(fresh","","","","",""
"","","","","","","","","","","","","",""
"","","","and dried), grapefruit including pomelos","","","","","","","","","",""
"","","","(fresh  and  dried),  pears,  apricots,  sour 
cherries (Prunus cerasus), cherries (other),","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","The  SCL  imposed  was  extended  for  a  period  of","","",""
"","","","peaches including nectarines, plums and 
sloes, seeds of coriander (neither crushed","","","","","","","","","",""
"","","","","","","","","","","one 
year 
(Extraordinary  Gazette  Notification","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","No. 2284/03).","","",""
"","","","nor  ground  and  crushed  and  ground),","","","","","","","","","",""
"","","","turmeric (neither crushed nor ground and","","","","","","","","","",""
"","","","other),  rice,  black  gram  flour,  vegetable","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","oil, and sugar","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","09.08.2022","be","Importation 
of 
essential 
received 
from  any 
(governments),  organisations  including 
business entities, volunteer associations, 
and  well  wishers  by  any  government 
entity,  government  approved  entities, 
and entities working on relief activities in 
direct collaboration with any government 
entity as aid/donations to provide relief 
measures  or 
facilitate  continuation  of 
essential public services","","","","","goods 
to 
foreign 
state","","The  applicable  SCL  is  to  be  waived  off  based 
on 
the 
recommendation 
of 
the 
Secretary 
(Chief  Accounting  Officer),  Ministry  in  charge 
of  donation 
recipient  government 
entity  or 
government  approved 
entity  or 
the  directly 
collaborating 
government 
entity 
with 
the 
donation  and  relief  measures,  on  a  case-by-
case  basis,  for  a  period  of  one  year  from  10 
August 2022 (Extraordinary Gazette Notification  
No. 2292/29).","","",""
"","10.08.2022","","Sprats, dried fish, mathe seed, kurakkan 
flour, mustard seeds, and salt","","","","","","","Imposition of SCL was extended for a period of one 
year from 12 August 2022 (Extraordinary Gazette 
Notification No. 2292/41).","","",""
"","","Salt","","","","","","","","The 
balance 
amount 
after 
collecting  
Rs. 10 per kg from the applicable SCL of Rs. 40 per 
kg on importation of salt by any pharmaceuticals 
manufacturing 
enterprise, 
registered  with 
the 
National  Medicines  Regulatory  Authority  for  the","","",""
"","","","","","","","","","","","purpose  of  manufacturing  pharmaceuticals,  not 
for commercial purpose, on the recommendation 
of 
the  Secretary,  State  Ministry 
in  charge  of 
subject  of  Production,  supply  and  Regulation  of 
Pharmaceuticals, was waived off for a period of 
one  year  commencing 
from  12  August  2022 
(Extraordinary Gazette Notification No. 2292/41).","",""
"","","","","","","","","","","","","",""
