"Date","Item","","","","","","","Revision","","",""
"30.11.2022","Yogurt,  butter,  dairy  spreads,  grated  or 
powdered  cheese  of  all  kinds,  dates 
(fresh and dried), oranges (fresh), grapes 
(fresh and dried), apples (fresh)","","","","","","","","","",""
"","","","","","","","","Imposition  of  SCL  was  extended  for  a  period 
of  one  year,  commencing  from  01  December 
2022 
(Extraordinary 
Gazette 
Notification","","",""
"","","","","","","","","","","",""
"","","","","","","","","No.2308/17).","","",""
"","","","","","","","","","","",""
"","B' Onion","","","","","","","SCL  was  decreased 
to  Rs.  10  per  kg 
from  
Rs. 50 per kg for a period of one year with effect 
from 01 December 2022 (Extraordinary Gazette 
Notification No. 2308/17).","","",""
"","Salmon,  Herrings,  Sardines,  Sardinella 
and  brisling  or  sprats,  Tunas,  Skipjack 
and  Bonito 
(Sarda 
Anchovies, Eals, and other prepared or 
preserved fish","","","","","","","SCL  was 
increased 
to  Rs.  200  per  kg 
from  
Rs.  100  per  kg  for  a  period  of  one  year  with","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","spp.),  Mackerel,","","","","effect  from  01  December  2022  (Extraordinary","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","Gazette Notification No. 2308/17).","","",""
"04.01.2023","Yogurt,  canned 
fish 
and Bonito) and sugar","","","(Tunas,  Skipjack,","","","","Imposition  of  SCL  was  extended  for  a  period 
of  one  year,  commencing 
from  05 
January 
2023 
(Extraordinary 
Gazette 
Notification  
No. 2313/34).","","",""
"","","","","","","","","","","",""
"25.01.2023","Maize (other)","","","","","","","SCL  of  Rs.  10  per  kg  was 
imposed 
for  a 
period  of  one  month  commencing  26  January 
2023 
(Extraordinary 
Gazette 
Notification  
No. 2316/28).","","",""
"20.02.2023","Other fresh eggs: of fowls of the species 
Gallus domesticus","","","","","","","SCL of Rs. 50 per egg was imposed for a period 
of three months, commencing from 21 February 
2023 
(Extraordinary 
Gazette 
Notification","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","No. 2320/04).","","",""
"","","","","","","","","","","",""
