"Date","Item","Revision","",""
"","","MRPs were removed (Extraordinary","",""
"28.01.2022","Locally packaged/bottled drinking water","","",""
"","","Gazette Notification No. 2264/68)","",""
"","","MRP was increased to Rs. 2.30","",""
"","","","",""
"","","per tablet/ capsule from Rs. 1.71","",""
"28.02.2022","Paracetamol Tablets/Capsules (500mg)","","",""
"","","","per tablet/capsule (Extraordinary",""
"","","","Gazette Notification No. 2269/11)",""
"15.03.2022","Selected 
medicines 
including 
Paracetamol 
Tablets/","","MRPs were increased",""
"","","","",""
"","Capsules (500mg)","No. 2271/23)","(Extraordinary Gazette Notification",""
"","","","",""
"","Selected  medical  devices  including  Intraocular  Lenses/","","",""
"","Lenses  with  Delivery  System,  bare  metal  stent,  drug","","MRPs were increased (Extraordinary",""
"","","","",""
"28.03.2022","","","",""
"","eluting  stent,  Blood  Glucose  Monitoring  System,  Pulse","","Gazette Notification No. 2273/04)",""
"","Oximeter, etc.","","",""
