"Excise Duty 
01 January 2022 
- 
Some  hotels,  such  as  3  Star  and  4  Star  classes  hotels,  5  Star  hotels  and  above 
Star  classes/  boutique  hotels  were  exempted  from  payment  of  the  authorisation 
fee applicable for the usage of liquor until 31 March 2022 (Extraordinary Gazette 
Notification No. 2260/78).
 
- 
Annual liquor licence fees were exempted until 31 March 2022 for hotel licence (FL/7) 
Tourist  Board  approved  hotels  and  non-Tourist  Board  approved  rooms  5  or  over, 
hotel bar licence (FL/8), restaurant licence (for restaurants, which are approved/not 
approved by the Tourist Board) (FL/11), rest house licence (FL/12) and consume at 
the premises (FL/22B) (for premises, which are approved/not approved by the Tourist 
Board) (Extraordinary Gazette Notification No. 2260/79).
29 April 2022 
- 
Excise duty on bottled toddy manufactured in and issued from any licensed manufactory 
established in Sri Lanka was increased to Rs. 50 per litre from Rs. 25 per litre, provided 
that the duty shall not be recovered on any quantity of bottled toddy that are exported 
(Extraordinary Gazette Notification No. 2277/62).
31 December 2022 
- 
Tobacco tax was levied at the rate of Rs. 2.00 on every single beedi (tendu) produced 
in Sri Lanka with effect from 01 January 2023 (Extraordinary Gazette Notification  
No. 2312/71).
01 January 2023 
- 
Excise  duty  on  petrol  and  diesel  was  revised  with  effect  from  03  January  2023 
(Extraordinary Gazette Notification No. 2312/68).
01 January 2023 
- 
Excise duty on cigarettes was revised with effect from 01 January 2023 (Extraordinary 
Gazette Notification No. 2312/68).","","","","",""
"","Description","","Prevailing Tax","Tax Revision",""
"","Petrol having Octane number of 92
Rs. 27 per litre
Rs. 52 per litre","","","",""
"","Petrol having Octane number of 95","","Rs. 27 per litre","Rs. 52 per litre",""
"","Other","","Rs. 27 per litre","Rs. 52 per litre",""
"","Super Diesel that contains Sulphur not exceeding 10 mg/
kg (ppm)","","Rs. 13 per litre","Rs. 38 per litre",""
"","Other Diesel that contains Sulphur exceeding 10 mg/kg 
(ppm) but not exceeding 500 mg/kg (ppm)","","Rs. 6 per litre","Rs. 31 per litre",""
"","Other","","Rs. 13  per litre","Rs. 38 per litre",""
"","","","","",""
"","Description","","Prevailing Tax","Tax Revision",""
"","","","","",""
"","","","","",""
"","Cigarettes, each not exceeding 60 mm in length","","Rs. 6,750 per 1,000 
cigarettes","Rs. 13,360 per 1,000 
cigarettes",""
"","Cigarettes, each exceeding 60 mm but not exceeding  
67 mm in length","","Rs. 28,850 per 1,000 
cigarettes","Rs. 34,620 per 1,000 
cigarettes",""
"","Cigarettes, each exceeding 67 mm but not exceeding  
72 mm in length","","Rs. 41,100 per 1,000 
cigarettes","Rs. 49,320 per 1,000 
cigarettes",""
"","Cigarettes, each exceeding 72 mm but not exceeding  
84 mm in length","","Rs. 46,600 per 1,000 
cigarettes","Rs. 55,920 per 1,000 
cigarettes",""
"","Cigarettes, each exceeding 84 mm in length","","Rs. 51,800 per 1,000 
cigarettes","Rs. 62,160 per 1,000 
cigarettes",""
"","","","","",""
