"REER  (2017 = 100) (24 - currency basket) (p)(q)","100.55","100.00","95.45","90.42","91.52","83.58"
"Year end","","","","","",""
"Rs/US$","149.80","152.85","182.75","181.63","186.41","200.43"
"Rs/SDR (o)","201.38","217.69","253.51","251.17","268.48","280.53"
"GOVERNMENT FINANCE (per cent of GDP) (e)(r)","","","","","",""
"Revenue and grants","13.2","12.8","12.6","11.9","8.8","8.3"
"Revenue","13.2","12.7","12.5","11.9","8.7","8.3"
"o/w Tax revenue","11.4","11.6","11.2","10.9","7.8","7.4"
"Grants","0.1","0.1","0.1","0.0","0.0","0.0"
"Expenditure and net lending","18.2","17.9","17.5","21.0","19.4","20.0"
"Recurrent expenditure","13.7","13.4","13.6","15.2","16.3","15.6"
"Capital expenditure and net lending","4.5","4.5","3.9","5.7","3.1","4.4"
"Current account balance","-0.6","-0.7","-1.1","-3.4","-7.5","-7.3"
"Primary balance","-0.2","0.0","0.6","-3.4","-4.4","-5.7"
"Overall fiscal balance","-5.0","-5.1","-5.0","-9.0","-10.6","-11.7"
"Deficit financing","5.0","5.1","5.0","9.0","10.6","11.7"
