"","","","","Weighted Average In-"
"","","","",""
"the  reserve  maintenance  period  commencing  01","","Volume (Rs.bn)","","terest Rate (Min-Max)"
"","Transactions","","",""
"","","","","at end Year (%)"
"September 2021, liquidity of the domestic money","","","",""
"","","2020","2021
2020","2021"
"market declined significantly. Accordingly, market","Market","","",""
"","Call Money (Overnight)","3,234","7,935  4.52 - 7.50","4.53-5.97"
"liquidity, which remained at a surplus of Rs. 206.8","Repo (Overnight)","3,151","3,533  4.53 - 7.53","4.55-6.00"
"","Open Market Operations","","",""
"billion by end 2020, recorded a deficit of Rs. 119.6","","","",""
"","Overnight Basis","","",""
"","Repo","320","1,183  6.73 - 7.51","5.71-5.99"
"billion by end September 2021. As guided by the","","","",""
"","Reverse Repo","175","-   5.88 - 7.54","-"
"","Liquidity Support Facility","18","-
 6.23 - 7.12","-"
"monetary policy stance, a deficit was maintained in","","","",""
"","Short Term Basis","","",""
"","Repo","31","423  7.01 - 7.16","5.96-5.99"
"the overnight money market liquidity through open","","","",""
"","Reverse Repo","66","-
 4.53 - 6.85","-"
"","","","",""
"market  operations  by  conducting  repo  auctions","Liquidity Support Facility","48","-
 6.30 - 6.93","-"
"","Long Term Basis","","-",""
"","","","",""
"since  late  August  2021.  Moreover,  the  Central","Repo","3","60  7.10 - 7.15","6.04-6.05"
"","Reverse Repo","299","204  4.53 - 7.53","6.13-7.20"
"Bank  conducted  auctions  of  outright  sales  of","Liquidity Support Facility","86","-
 4.88 - 7.16","-"
"","Outright Basis","","",""
"Treasury bills in November and December 2021,","Purchase of T-bills","-","-
 -","-"
"","Purchase of T-bonds","22","-
8.42-9.68","-"
"in order to mop up excess liquidity on a permanent","Sale of T-bills","-","14
 -","7.00-7.23"
"","Sale of T-bonds","-","- 
 -","-"
"basis, resulting mainly from primary purchases of","Standing Facility (at Policy Interest Rates)","","",""
"","Standing Deposit Facility","32,809","29,450
4.50","5.00"
"Treasury  bills  by  the  Central  Bank  and  special","Standing Lending Facility","715","30,095
5.50","6.00"
"","","","",""
"allocations  of  Treasury  bills  to  the  Central  Bank,","","","","Source: Central Bank of Sri Lanka"
