"(2017=100)","2019","2020","2021","2019","2020","2021","2020","2021","2020","2021"
"NEER 24-currencies","86.74","83.12","79.65","88.17","85.93","78.64","-4.17","-4.18","-2.54","-8.48"
"REER 24-currencies","90.74","88.37","86.06","90.42","91.52","86.13","-2.61","-2.61","1.22","-5.90"
"","(a)   Changes computed on the basis of foreign currency equivalent of Sri Lanka rupees.  The sign (-) indicates depreciation of Sri Lanka rupee","","","","","","","","Source: Central Bank of Sri Lanka",""
"against each currency.","","","","","","","","","",""
"(b)   The Nominal Effective Exchange Rate (NEER) is a weighted average of nominal exchange rates of 24 trading partner and competitor","","","","","","","","","",""
"","countries. Weights are based on the trade shares reflecting the relative importance of each currency in each of the currency baskets.","","","","","","","","",""
"","The Real Effective Exchange Rate (REER) is computed by adjusting the NEER for inflation differentials with respect to each currency in the","","","","","","","","",""
"","basket. A minus sign indicates depreciation. CCPI was used for REER computation.","","","","","","","","",""
"(c)","The exchange rate has been defined in terms of indices so that the appreciation/depreciation of the rupee relative to other currencies is","","","","","","","","",""
"","directly reflected by a rise/fall in the values of the effective exchange rate indices, respectively.","","","","","","","","",""
