"3","","","","","","","","","","","US$ million"
"","","","","","","","2020 (a)","","","2021 (b)",""
"2","","","","","Item","","","","","",""
"","","","","","","Credit Debit","","Net","Credit Debit","","Net"
"1","","","","","","","","","","",""
"","","","","","Goods and Services","13,083","18,271","-5,189","14,974","21,526","-6,552"
"0","","","","","","","","","","",""
"","","","","","Goods","10,047","16,055","-6,008","12,499","20,637","-8,139"
"% of GDP
-1","","","","","","","","","","",""
"","","","","","General Merchandise","10,047","16,047","-5,999","12,499","20,636","-8,138"
"-2","","","","","Non-monetary Gold","-","9","-9","-","1","-1"
"-3","","","","","","","","","","",""
"","","","","","Services","3,035","2,216","819","2,475","889","1,586"
"-4","","","","","Transport","1,174","1,059","114","608","256","352"
"-5","","","","","Sea Transport","702","635","67","450","150","300"
"2017","2018","2019","2020","2021","Freight","702","635","67","450","150","300"
"","","","","","Air Transport","472","424","48","158","106","52"
"","Current Account Balance","Financial Account (Net)","","Overall Balance","","","","","","",""
"","","","","","Passenger","394","354","40","108","89","19"
"","","","","Source: Central Bank of Sri Lanka","","","","","","",""
"","","","","","Freight","78","71","7","50","17","33"
"","","","","","Travel (c)","682","449","234","507","239","268"
"","","","","","","","","","","",""
"","5.2 Current Account Balance","","","","Construction","7","10","-3","10","11","-1"
"","","","","","Insurance and Pension Services","39","82","-42","20","37","-17"
"","","","","","Financial Services","96","220","-125","95","102","-7"
"","Despite the increase in the services account","","","","","","","","","",""
"","","","","","Telecommunications and","","","","","",""
"","","","","","Computer Services","995","288","706","1,201","171","1,030"
"","balance and the decline in the primary income","","","","","","","","","",""
"","","","","","Telecommunications","24","32","-8","32","31","2"
"","","","","","","","","","","",""
"","account  deficit,  the  external  current  account","","","","Computer Services","971","257","714","1,168","140","1,028"
"","","","","","Other Business Services","16","37","-21","16","17","-1"
"","deficit widened significantly in 2021 as a result","","","","Government Goods and Services","","","","","",""
"","","","","","","26","70","-44","19","57","-38"
"","","","","","n.i.e.","","","","","",""
"","of the widened trade deficit and the decline in","","","","","","","","","",""
"","","","","","Primary Income","198","2,404","-2,205","116","2,134","-2,018"
"","the  surplus  in  the  secondary  income  account.","","","","Compensation of Employees","36","132","-96","30","74","-43"
"","","","","","Investment Income","162","2,271","-2,110","86","2,060","-1,975"
"Higher","import  expenditure  compared","","","to  export","","","","","","",""
"","","","","","Direct Investment","17","636","-619","16","647","-631"
"","earnings  resulted","in  a  widened","","trade  deficit  of","Dividends","14","445","-431","12","357","-345"
"","","","","","Reinvested Earnings","3","191","-188","4","290","-286"
"","around  US  dollars  8.1  billion  in  2021  as  opposed","","","","Portfolio Investment","-","943","-943","-","818","-818"
"","","","","","","","","","","",""
"","to the relatively lower trade deficit of US dollars 6.0","","","","Equity","-","35","-35","-","26","-26"
"","","","","","Interest","-","908","-908","-","793","-793"
"5","billion recorded in 2020. The surplus in the services","","","","Short Term","-","2","-2","-","...","..."
"","","","","","Long Term","-","905","-905","-","793","-793"
"","","","","","","","","","","",""
"","account increased due to higher inflows observed","","","","Other Investment","56","693","-637","43","595","-552"
"","","","","","","","","","","",""
"","on account of information technology led business","","","","Reserve Assets","89","-","89","27","-","27"
"","","","","","","","","","","",""
"","process outsourcing (IT/BPO) related services and","","","","Secondary Income","7,117","910","6,207","5,498","270","5,228"
"","","","","","General Government","13","-","13","6","-","6"
"","improvements in the transport sector. The tourism","","","","Workers’ Remittances","7,104","910","6,194","5,491","270","5,221"
"","sector also showed signs of revival during the latter","","","","Current Account","20,398","21,585","-1,187","20,587","23,930","-3,343"
"","","","","","Capital Account","51","23","28","50","24","25"
"","part of the year. The deficit in the primary income","","","","","","","","","",""
"","","","","","Capital Transfers","51","23","28","50","24","25"
"","account  contracted  with","","the  decline","in  dividend","General Government","24","-","24","11","-","11"
"","","","","","Corporations and Households","27","23","4","38","24","14"
"","payments of Direct Investment Enterprises (DIEs)","","","","","","","","","",""
"","","","","","Current and Capital Account","20,449","21,608","-1,159","20,637","23,955","-3,318"
"","and  coupon  payments  on  account  of  government","","","","","","","","","",""
"","","","","","","(a)  Revised                                                          Source: Central Bank of Sri Lanka","","","","",""
"","","","","","(b)  Provisional","","","","","",""
"","securities  held  by","foreign","investors  despite","the","","","","","","",""
"","","","","","","(c)  Passenger services provided to non-residents are included in","","","","",""
"","","","","","transport services.","","","","","",""
"","increase recorded in reinvested earnings of DIEs.","","","","","","","","","",""
"In","comparison","to  2020,  workers’","","remittances","","","","","","",""
"","","","","","","widened to US dollars 3.3 billion in 2021, compared","","","","",""
"contracted","notably","during","2021,","particularly","","","","","","",""
"","","","","","","to US dollars 1.2 billion recorded in 2020. Reflecting","","","","",""
"","during  the  latter  half  of  the  year,  possibly  due  to","","","","","","","","","",""
"","","","","","the  expansion 
in","the  current  account  deficit  and","","","","",""
"","a  notable  difference  in  exchange  rate  in  the  grey","","","","a  moderate  expansion","in","","the  output,","","the  current",""
"","market compared to the official rate that prevailed","","","","","account deficit as a percentage of GDP stood at 4.0","","","","",""
"","at that time. As a result, the current account deficit","","","","","per cent in 2021, compared to 1.5 per cent in 2020.","","","","",""
