"Name of the PFI: …………………………….","","","","","","","","","","","","",""
"","","","","","","","","","","","","Debt Moratorium",""
"","","","","","","","","","","Initial Grace","","",""
"","","","","","Approved","Loan","","Date of","","","","","Requested"
"","","CBSL","","","","","Date of","","","Period","","",""
"","CBSL","","","","Loan","Released","","Refinance","","","","","Moratorium"
"","","Refinance","Name of the","NIC/","","","Loan","","Repayment","provided","Requested Debt","",""
"#","Registration","","","","Amount by","Amount","","granted","","","","Ending date","Facility"
"","","No. (if","Borrower/s","BR","","","Released","","Period","for the loan","Moratorium","",""
"","No.","","","","the CBSL","by the PFI","","by the","","","","of the Debt","(Capital	only/"
"","","applicable)","","","","","by the PFI","","","(No. of","period (No. of","",""
"","","","","","(Rs.)","(Rs.)","","CBSL","","","","Moratorium","Capital"
"","","","","","","","","","","months)","months)","",""
