"","Ref. No.","Page"
"155
Finance Business Act Directions No. 04 of 2021: Foreign Currency Borrowings","","330"
"156 Circular No. 06 of 2021: Concessions for COVID-19 Affected Businesses and","","332"
"Individuals","",""
"157
Local Treasury Bills Ordinance and Registered Stock and Securities Ordinance","","334"
"Directions No. 01 of 2021: Minimum Capital Requirement of Primary Dealer","",""
"Companies","",""
"158 Circular No. 07 of 2021: Amendment to Circular No. 06 of 2021 on","","336"
"Concessions for COVID-19 Affected Businesses and Individuals","",""
"159 Circular No. 08 of 2021: Recognition of Lanka Rating Agency Ltd as an","","337"
"Acceptable Credit Rating Agency","",""
"160 Circular No. 09 of 2021: Extension of Concessions for COVID-19 Affected","","338"
"Businesses and Individuals","",""
"161
Finance Business Act Directions No. 05 of 2021: Corporate Governance","","340"
"162
Finance Business Act Directions No. 06 of 2021: Assessment of Fitness and","","358"
"Propriety of Key Responsible Persons","",""
