"Major Legislative Enactments of 2021","","Part IV"
"Head   205 
Department of Public Trustee","",""
"Programme 01 
Operational Activities","69,475,000","3,700,000"
"Head   228 
Courts Administration","",""
"Programme 01 
Operational Activities","7,851,750,000","3,308,200,000"
"Head   229 
Attorney General’s  Department","",""
"Programme 01 
Operational Activities","1,545,000,000","329,000,000"
"Head   230 
Legal Draftsman’s  Department","",""
"Programme 01 
Operational Activities","125,200,000","10,500,000"
"Head   231 
Department of Debt Conciliation Board","",""
"Programme 01 
Operational Activities","35,850,000","1,000,000"
"Head   233 
Department of Government Analyst","",""
"Programme 01 
Operational Activities","416,300,000","206,500,000"
"Head   234 
Office of the Registrar of the Supreme Court","",""
"Programme 01 
Operational Activities","246,550,000","3,200,000"
"Head   235 
Law Commission of Sri Lanka","",""
"Programme 01 
Operational Activities","15,910,000","1,210,000"
"State Ministry of  Prison Management and Prisoners’ Rehabilitation","",""
"Recurrent 
8,462,930,000","",""
"Capital 
1,390,000,000","",""
"Made up as follows :-","",""
"Head   418 
State Minister of Prison Management and Prisoners’ Rehabilitation","",""
"Programme 01 
Operational Activities","377,370,000","928,800,000"
"Head   232 
Department of Prisons","",""
"Programme 01 
Operational Activities","7,601,500,000","448,000,000"
"Head   326 
Department of Community Based Corrections","",""
"Programme 01 
Operational Activities","484,060,000","13,200,000"
"Ministry of Health","",""
"Recurrent              
121,528,998,000","",""
"Capital 
  37,000,000,000","",""
"Made up as follows :-","",""
"Head   111 
Minister of Health","",""
"Programme 01 
Operational Activities","103,535,998,000","2,272,500,000"
"Programme 02  
Development Activities","17,993,000,000","34,727,500,000"
"State Ministry of  Indigenous Medicine Promotion , Rural and","",""
"Ayurvedic Hospitals Development and Community Health","",""
"Recurrent 
2,179,000,000","",""
"Capital 
   100,000,000","",""
"Made up as follows :-","",""
"Head   416 
State Minister of Indigenous Medicine Promotion , Rural and","",""
"Ayurvedic Hospitals Development and Community Health","",""
"Programme 01 
Operational Activities","360,000,000","17,000,000"
"Programme 02 
Development Activities","-","10,000,000"
"Head   220 
Department of Ayurveda","",""
"Programme 01 
Operational Activities","122,000,000","7,000,000"
"Programme 02  
Development Activities","1,697,000,000","66,000,000"
"State Ministry of  Production, Supply and Regulation of  Pharmaceuticals","",""
"Recurrent 
65,730,000,000","",""
"Capital 
     400,000,000","",""
"Made up as follows :-","",""
"Head   423 
State Minister of Production, Supply and Regulation of  Pharmaceuticals","",""
"Programme 01 
Operational Activities","65,730,000,000","25,000,000"
"Programme 02  
Development Activities","-","375,000,000"
