"","SRI LANKA(a)",""
"","","Page"
"1.","Colombo Port City Economic Commission Act, No. 11 of 2021","1"
"2.","Fiscal Management (Responsibility) (Amendment) Act, No. 12 of 2021","26"
"3.","Coronavirus Disease 2019 (COVID-19) (Temporary Provisions) Act, No. 17 of 2021","26"
"4.","Finance Act, No. 18 of 2021","28"
"5.","Securities and Exchange Commission of Sri Lanka Act, No. 19 of 2021","36"
"6.","Employees’ Provident Fund (Amendment) Act, No. 23 of 2021","92"
"7.","Appropriation (Amendment) Act, No. 26 of 2021","93"
"8.","Minimum Retirement Age of Workers Act, No. 28 of 2021","93"
"9.","Termination of Employment of Workmen (Special Provisions) (Amendment) Act, No. 29 of 2021","98"
"10.","Appropriation Act, No. 30 of 2021","99"
