"","Rs. 000","Rs. 000","Rs. 000","Rs. 000","Rs. 000"
"Foreign Currency Financial Assets","","","","",""
"Cash & Cash Equivalents","-","-","-","403,307,304","403,307,304"
"Securities at Fair Value through Profit or Loss","40,564,323","-","-","-","40,564,323"
"Securities at Fair Value through Other","","","","",""
"","-","703,435,463","-","-","703,435,463"
"Comprehensive Income","","","","",""
"Derivative Financial Instruments","3,370,353","-","-","-","3,370,353"
"IMF Related Assets","157,793,346","-","-","1,164,839","158,958,185"
"Other Receivables","-","-","-","1,702,247","1,702,247"
"Total Foreign Currency Financial Assets","201,728,022","703,435,463","-","406,174,390","1,311,337,875"
"Local Currency Financial Assets","","","","",""
"Sri Lanka Government Securities","-","714,531,527","-","-","714,531,527"
"Securities Purchased under Resale Agreements","-","-","-","2,728,412","2,728,412"
"Provisional Advances to Government","-","-","-","153,061,900","153,061,900"
"Equity Investments in Financial and Other Institutions","-","-","1,615,356","-","1,615,356"
"Loans to Banks","-","-","-","111,487,526","111,487,526"
"Other Assets","-","-","-","23,097,189","23,097,189"
"Total Local Currency Financial Assets","-","714,531,527","1,615,356","290,375,027","1,006,521,910"
"Foreign Currency Financial Liabilities","","","","",""
"Banks and Financial Institutions","-","-","-","208,337,221","208,337,221"
"Derivative Financial Instruments","574,182","-","-","-","574,182"
"Asian Clearing Union","-","-","-","63,864,652","63,864,652"
"IMF","-","-","-","509,925,278","509,925,278"
"Others","-","-","-","74,870,325","74,870,325"
"Total Foreign Currency Financial Liabilities","574,182","-","-","856,997,476","857,571,658"
"Local Currency Financial Liabilities","","","","",""
"Deposits of Banks and Financial Institutions","-","-","-","129,601,521","129,601,521"
"Deposits of Government and Governmental Entities","-","-","-","1,460,512","1,460,512"
"Securities Sold under Repurchase Agreements","-","-","-","209,507,898","209,507,898"
"Currency in Circulation","-","-","-","834,807,859","834,807,859"
"Other Payables","-","-","-","14,742,792","14,742,792"
"Total Local Currency Financial Liabilities","-","-","-","1,190,120,582","1,190,120,582"
