"Name of the PFI: …………………………….","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","Repayment Period Including the","",""
"","","","","","","","","","","","Grace	Period	(GP)/Debt	moratorium	(Dm)","","","","","",""
"","","","","","","","","","Due","","","","","","GP/Dm","","Requested"
"","","","Approved","Loan","Date of","","","","","","","","","","","",""
"CBSL","Name","","","","","Date	of	Refinance","Concession","Capital","premium*","","","","","","","","Moratorium"
"CBSL","","","Loan","Released","Loan","","","","","","","","","","","",""
"Refinance","of the","NIC/B","","","","granted by the","Extended","Outstanding","(0.25 per","Initial GP","End date","Requeste d","","","Requeste","","Facility (Capital"
"#
Registration","","","Amount","Amount","Released","","","","","","","","Ending","Original/","","New",""
"No. (if","Borrower/","R","","","","CBSL (For SCRF","Date by","to be","cent of the","provided","of the DM","new DM","","","d","","only/Capital"
"No.","","","by the","by the","by the","","","","","","","","date of","Existing","","Repaymen t",""
"applicable)","s","","","","","Phase I and II)","the PFI","rescheduled","total initial","for the loan","previously","period (No.","","","(No. of","","and Interest"
"","","","CBSL (Rs.)","PFI (Rs.)","PFI","","","","","","","","the	GP/","(No. of","","Period (No.",""
"","","","","","","","","","loan amount)","(No. of","granted","of months)","","","months)","","Both)**"
"","","","","","","","","","","","","","DM","months)","","of months)",""
