"","Secretary’s Division, Colombo District","",""
"","Northern Connection Point","","396913.476"
"","Southern Connection Point","","397077.037"
"1.","Lot No. 2",":","Extent : 155.8376 Ha."
"","North",":","Lot Nos. 6 and 1, Colombo Port and Chaithaya Road;"
"","East",":","Lot No. 1, Colombo Port, Chaithaya Road, Indian Ocean and Lot No. 7;"
"","South",":","Indian Ocean, Lot Nos. 7, 6 and 3;"
"","West",":","Lot Nos. 6, 3 and 6."
"2.","Lot No. 3",":","Extent : 15.0933 Ha."
"","North",":","Lot Nos. 2;"
"","East",":","Lot Nos. 2 and 6;"
"","South",":","Lot Nos. 6 and 4;"
"","West",":","Lot Nos. 4 and 6."
"3.","Lot No. 4",":","Extent : 113.5311 Ha."
"","North",":","Lot Nos. 6 and 3;"
"","East",":","Lot Nos. 3 and 6;"
"","South",":","Lot Nos. 6, 5 and 6;"
"","West",":","Lot Nos. 6, 5 and 6."
"4.","Lot No. 5",":","Extent : 14.7856 Ha."
"","North",":","Lot Nos. 6 and 4;"
"","East",":","Lot Nos. 6 and 4;"
"","South",":","Lot No. 6;"
"","West",":","Lot No. 6."
"5.","Lot No. 6",":","Extent : 101.1038 Ha."
"","North",":","Lot Nos. 7, 1, 2, 3, 4, 5, 4, 3 and 2;"
"","East",":","Lot Nos. 1, 2, 3, 4, 5, 2 and 7;"
"","South",":","Lot Nos. 2 and 7;"
"","West",":","Lot Nos. 2 and 7."
"6.","Lot No. 7",":","Extent : 46.2639 Ha."
"","North",":","Indian Ocean, Lot Nos. 1, 6 and 2;"
"","East",":","Lot Nos. 1, 6 and 2 and Indian Ocean;"
"","South",":","Indian Ocean;"
"","West",":","Indian Ocean."
