"Accordingly, the following Daily Operating Schedule will be followed from 01.02.2021.","",""
"TIME","EVENT","ACTIvITIES	/TRANSACTIONS"
"0630 hrs.","System start-up","Start-up of RTGS/SSS applications."
"0730 hrs. to","Start of day processing","Update Official Prices of securities, earmarking securities for ILF."
"0800 hrs.","",""
"0800 hrs.","LankaSettle System opens for","System opens for effecting transactions."
"","business",""
"0800 hrs.","ILF/Auto reversal of Repos and","Grant ILF and settle second leg of Repos of OMO and SDF"
"","Standing Deposit Facility (SDF)",""
"0815 hrs.","Maturities/Interest payments, start of","Settlement  of  maturity  proceeds/coupon  payments  of  securities,"
"","the day (SOD) file and maturities of","effecting  LankaSettle  charges/penalties  and  maturities  of  CBSL"
"","CBSL Securities","Securities."
"0830 hrs.","Multilateral Net Settlement (MLNS)","SLIPS Cycle 1/Main Clearing of CITS."
"","Batch from LankaClear",""
"0830 hrs.","Outright sales/ Purchases / Long","Settlement of OMO outright sales, purchases, Long Term CBSL"
"","Term Repo Auction/ Issue of Long","Securities Auction and first leg of Long Term Repo/Long Term LSF"
"","Term CBSL Securities","Auction."
"0845 hrs.","Primary Auction Issuance (when","Issuance of Primary Auction (when applicable)"
"","applicable)",""
"0845 hrs.","MLNS Batch from LankaClear","Common ATM Switch (CAS) Cycle 1"
"0900 hrs.","MLNS Batch from LankaClear","Common Electronic Fund Transfer Switch (CEFTS) Cycle 1"
"0900 hrs.","MLNS Batch from LankaClear","Common POS Switch (CPS) Cycle 1"
