"Major Legislative Enactments of 2021","","","Part IV"
"Made up as follows :-","","",""
"Head   421 
State Minister of Skills Development,","","",""
"","Vocational Education, Research and Innovation","",""
"Programme 01","Operational Activities","5,600,300,000","1,008,800,000"
"Programme 02","Development Activities","1,999,700,000","3,241,200,000"
"Head   215","Department of Technical Education and Training","",""
"Programme 01","Operational Activities","261,600,000","30,000,000"
"Programme 02","Development Activities","1,938,400,000","280,000,000"
"","State Ministry of Dhamma Schools, Pirivenas and Bhikkhu Education","",""
"Recurrent","4,650,000,000","",""
"Capital","225,000,000","",""
"Made up as follows :-","","",""
"Head   422","State Minister of Dhamma Schools, Pirivenas and Bhikkhu Education","",""
"Programme 01","Operational Activities","110,184,000","65,200,000"
"Programme 02","Development Activities","4,539,816,000","159,800,000"
"","Ministry of Public Services, Provincial Councils and Local Government","",""
"Recurrent","293,896,000,000","",""
"Capital","480,000,000","",""
"Made up as follows :-","","",""
"Head   130","Minister of Public Services, Provincial Councils and Local Government","",""
"Programme 01","Operational Activities","28,998,000,000","426,000,000"
"Head   236 
Department of Official Languages","","",""
"Programme 01","Operational Activities","158,000,000","3,000,000"
"Head   253 
Department of Pensions","","",""
"Programme 01","Operational Activities","264,740,000,000","51,000,000"
"","State Ministry of Provincial Councils and Local Government","",""
"Recurrent","288,608,000,000","",""
"Capital","40,500,000,000","",""
"Made up as follows :-","","",""
"Head   420","State Minister of Provincial Councils and Local Government","",""
"Programme 01","Operational Activities","308,000,000","44,000,000"
"Programme 02","Development Activities","300,000,000","14,456,000,000"
"Head   312 
Western Provincial Council","","",""
"Programme 01","Operational Activities","50,008,000,000","-"
"Programme 02","Development Activities","-","2,216,000,000"
"Head   313 
Central Provincial Council","","",""
"Programme 01","Operational Activities","37,459,000,000","-"
"Programme 02","Development Activities","-","2,899,000,000"
"Head   314 
Southern Provincial Council","","",""
"Programme 01","Operational Activities","35,507,000,000","-"
"Programme 02","Development Activities","-","2,712,000,000"
"Head   315 
Northern Provincial Council","","",""
"Programme 01","Operational Activities","26,428,000,000","-"
"Programme 02","Development Activities","-","3,208,000,000"
"Head   316 
North Western Provincial Council","","",""
"Programme 01","Operational Activities","33,542,000,000","-"
"Programme 02","Development Activities","-","2,688,000,000"
"Head   317 
North Central Provincial Council","","",""
"Programme 01","Operational Activities","20,979,000,000","-"
"Programme 02","Development Activities","-","2,951,000,000"
"Head   318 
Uva Provincial Council","","",""
"Programme 01","Operational Activities","24,902,000,000","-"
"Programme 02","Development Activities","-","3,106,000,000"
