"","Rate %","Rs.  000","Rs.  000","Rs.  000","Rs.  000","Rs.  000","Rs.  000"
"Interest Sensitive Local Currency","","","","","","",""
"Financial Assets","","","","","","",""
"Sri Lanka Government Securities","7.6560","714,531,527","294,107,401","391,555,731","3,319,009","25,188,854","360,532"
"Securities Purchased under Resale","","","","","","",""
"","5.5000","2,728,412","2,728,412","-","-","-","-"
"Agreements","","","","","","",""
"Loans to Banks","1.0001","111,487,525","95,631,866","7,783,932","8,067,216","4,511","-"
"Other Assets  - Staff Loans","3.3375","7,793,272","228,390","184,529","379,014","1,221,587","5,779,752"
"- Others","9.8666","13,056,605","2,078,654","163,050","319,407","4,460,297","6,035,197"
"Total  Interest Sensitive Local","","","","","","",""
"","","849,597,341","394,774,723","399,687,242","12,084,646","30,875,249","12,175,481"
"Currency Financial Assets","","","","","","",""
"Non Interest Sensitive Local","","","","","","",""
"Currency Financial Assets","","","","","","",""
"Provisional Advances to Government","","153,061,900","153,061,900","-","-","-","-"
"Other Assets - Others","","2,247,313","2,247,313","-","-","-","-"
"Investment in Equity Securities - Fair","","","","","","",""
"Value through Other Comprehensive","","1,615,356","-","-","-","-","1,615,356"
"Income","","","","","","",""
"Total Non Interest Sensitive Local","","","","","","",""
"","","156,924,569","155,309,213","-","-","-","1,615,356"
"Currency  Financial Assets","","","","","","",""
"Total Local Currency Financial Assets","","1,006,521,910","550,083,936","399,687,242","12,084,646","30,875,249","13,790,837"
"Interest Sensitive Local Currency","","","","","","",""
"Financial Liabilities","","","","","","",""
"Standing Deposit Facility","4.5000","209,507,898","209,507,898","-","-","-","-"
"Total Interest Sensitive Local","","","","","","",""
"","","209,507,898","209,507,898","-","-","-","-"
"Currency Financial Liabilities","","","","","","",""
"Non Interest Sensitive Local","","","","","","",""
"Currency Financial Liabilities","","","","","","",""
"Deposits of Banks and Financial","","129,601,521","129,601,521","-","-","-","-"
"Institutions","","","","","","",""
"Deposits of Government and","","","","","","",""
"","","1,460,512","1,460,512","-","-","-","-"
"Governmental Entities","","","","","","",""
"Currency in Circulation","","834,807,859","834,807,859","-","-","-","-"
"Other Payables","","14,742,792","14,742,792","-","-","-","-"
"Total Non Interest Sensitive Local","","","","","","",""
"","","980,612,684","980,612,684","-","-","-","-"
"Currency Financial Liabilities","","","","","","",""
"Total Local Currency Financial","","","","","","",""
"","","1,190,120,582","1,190,120,582","-","-","-","-"
"Liabilities","","","","","","",""
"Local Currency Interest Rate","","","","","","",""
"","","640,089,443","185,266,825","399,687,242","12,084,646","30,875,249","12,175,481"
"Sensitivity Gap","","","","","","",""
