"Cash & Cash Equivalents","","","","","",""
"Federal  Reserve  Bank 
-  USA/  Reserve  Bank  of  Australia/Bank","for","","","","",""
"International  Settlements/  Bank  of  Japan/  Deutsche  Bundes  Bank/  Bank","","","","","",""
"","","","497,630,980","16.67%","320,842,614","13.84%"
"of England/ Sveriges Riks Bank/ Bank of Canada/ Reserve Bank of New","","","","","",""
"Zealand/ Reserve Bank of India/ People's Bank of China","","","","","",""
"Other Counterparties","","AAA","4,009,562","0.13%","17,985,741","0.78%"
"","","AA-","2,004,771","0.07%","31,186,235","1.34%"
"","","A+","8,094,146","0.27%","29,920,960","1.29%"
"","","A","-","0.00%","2,789,210","0.12%"
"","","A-","768,180","0.03%","140,847","0.01%"
"","","BBB+","-","0.00%","172,614","0.01%"
"","","BBB","40,255","0.00%","40,470","0.00%"
"","","NR","214,558","0.01%","228,613","0.01%"
"","","","512,762,452","17.18%","403,307,304","17.40%"
"Securities at Fair Value through Other Comprehensive Income","","","","","",""
"","","AAA","2,830,756","0.09%","189,785,053","8.19%"
"","","AA+","5,987,488","0.20%","437,986,572","18.90%"
"","","AA","-","0.00%","15,360,081","0.66%"
"","","AA-","-","0.00%","27,998,253","1.21%"
"","","A+","-","0.00%","32,305,504","1.39%"
"","","","8,818,244","0.29%","703,435,463","30.35%"
"Securities at Fair Value through Profit or Loss","","","","","",""
"","","AAA","-","0.00%","30,034,475","1.29%"
"","","AA+","-","0.00%","4,785,108","0.21%"
"","","AA","-","0.00%","5,140,913","0.22%"
"","","AA-","-","0.00%","603,827","0.03%"
"","","","-","0.00%","40,564,323","1.75%"
"Derivative Financial Instruments","","","","","",""
"","","A","55,853","0.00%","-","0.00%"
"Locally Rated","","AA+","-","0.00%","1,423,629","0.06%"
"","","AA-","34,088,798","1.14%","1,360,976","0.06%"
"","","A+","19,788,494","0.67%","46,825","0.00%"
"","","A","33,378","0.00%","62,960","0.00%"
"","","BBB-","2","0.00%","33","0.00%"
"","","BB+","56,311","0.00%","65,189","0.01%"
"","","NR","-","0.00%","410,741","0.02%"
"","","","54,022,836","1.81%","3,370,353","0.15%"
"IMF Related Assets","","","188,045,837","6.30%","158,958,185","6.86%"
"","","","188,045,837","6.30%","158,958,185","6.86%"
"Other Receivables","","AAA","-","0.00%","1,702,247","0.07%"
"","","","-","0.00%","1,702,247","0.07%"
"Total Foreign Currency Financial Assets","","","763,649,369","25.58%","1,311,337,875","56.58%"
