"Name of the PFI: …………………………….","","","","","","","","","",""
"","","","","","","","","","","Debt Moratorium"
"","CBSL","","","Approved","Loan","Date of","","Date of","","Requested"
"","","Name","NIC/BR","","","","","","",""
"CBSL","Refinance","","","Loan Amount","Released","Loan","Repayment","Refinance","Requested","Moratorium"
"#","","of the","& MF","","","","","","Ending Date",""
"Registration No","No. (if","","","by the CBSL","Amount by","Released","Period","granted by","Debt Mort.","Facility"
"","","Borrower/s","No.","","","","","","of the Debt",""
"","applicable)","","","(Rs.)","the PFI (Rs.)","by the PFI","","the CBSL","Period (No.","(Capital	only/"
"","","","","","","","","","Moratorium",""
"","","","","","","","","","of Months)","Capital and"
"","","","","","","","","","","Interest both)"
