"","","","","Details of Extension of Concessions Provided for Businesses and Individuals","","","","","","","","","","","",""
"Name	of	the	PFI:	…………………………….","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","Repayment Period",""
"","","","","","","","","","2- Due","","","","","","",""
"","","","","","","","","","","","","Grace Period","","","","Including grace"
"","","CBSL","","","","Approved","","","Premium","","","","","","",""
"","","","","","","","Loan","Date of","","","","","","","","Period"
"","","Refinance","","","","Loan","","","(0.25 per","Con-","","","","","",""
"","CBSL","","Name","","BR No.","","Released","Loan","","","","3-","","","",""
"","","No.","","","","Amount","","","cent of","cession","","","","","",""
"#","Registration","","of the","NIC","(if any)","","Amount","Released","","","","Request-","4-Al-","","",""
"","","(if","","","","by the","","","the total","Extended","Existing","","","","Original","Requested"
"","No.","","Borrower","","","","by the PFI","by the","","","","ed","lowed","Ending","",""
"","","applicable)","","","","CBSL","","","Loan","Date","(No. of","","","","(No. of","(No. of"
"","","","","","","","(Rs.)","PFI","","","","/Allowed","(No. of","date","",""
"","","","","","","(Rs.)","","","Amount)","","months)","","","","months)","months)"
"","","","","","","","","","","","","(No. of","months)","","",""
"","","","","","","","","","Rs","","","","","","",""
