"","","Ref. No.","Page"
"78","Directions No. 24 of 2021 under Foreign Exchange Act, No. 12 of 2017:","","169"
"","Directions issued to Authorised Dealers on Business Foreign Currency Accounts","",""
"","(BFCAs)","",""
"79","The Gazette of the Democratic Socialist Republic of Sri Lanka (Extraordinary):","2234/19","170"
"","No. 2234/19 - Wednesday, June 30, 2021","",""
"80","The Gazette of the Democratic Socialist Republic of Sri Lanka (Extraordinary):","2234/20","171"
"","No. 2234/20 - Wednesday, June 30, 2021","",""
"81","The Gazette of the Democratic Socialist Republic of Sri Lanka (Extraordinary):","2234/49","172"
"","No. 2234/49 - Friday, July 02, 2021","",""
"82","The Gazette of the Democratic Socialist Republic of Sri Lanka (Extraordinary):","2235/22","173"
"","No. 2235/22 - Tuesday, July 06, 2021","",""
"83","Directions No. 25 of 2021 under Foreign Exchange Act, No. 12 of 2017:","","174"
"","Directions issued to Authorised Dealers on the Special Deposit Accounts","",""
"84","Directions No. 26 of 2021 under Foreign Exchange Act, No. 12 of 2017:","","177"
"","Directions issued to Authorised Dealers on Special Foreign Currency Accounts","",""
"","(SFCAs) to facilitate Foreign Currency Denominated Investments on the Colombo","",""
"","Stock Exchange (CSE)","",""
"85","Directions No. 27 of 2021 under Foreign Exchange Act, No. 12 of 2017:","","180"
"","Directions issued to Authorised Dealers on Business Foreign Currency Accounts","",""
"","(BFCAs)","",""
"86","The Gazette of the Democratic Socialist Republic of Sri Lanka (Extraordinary):","2251/42","180"
"","No. 2251/42 - Thursday, October 28, 2021","",""
"87","The Gazette of the Democratic Socialist Republic of Sri Lanka (Extraordinary):","2258/23","182"
"","No. 2258/23 - Wednesday, December 15, 2021","",""
"88","Directions No. 28 of 2021 under Foreign Exchange Act, No. 12 of 2017:","","182"
"","Directions issued to Authorised Dealers on Special Foreign Currency Accounts","",""
"","for investee to facilitate Current Transactions (SFCA- Investee)","",""
"89","Directions No. 29 of 2021 under Foreign Exchange Act, No. 12 of 2017:","","183"
"","Directions issued to Authorised Dealers on Accommodations to Business Foreign","",""
"","Currency Accounts (BFCAs) holders","",""
"Financial Intelligence Unit","","",""
"","Circular No:  01/2021: Implementation of AML/CFT Measures on Parties","037/05/006/0004/018","184"
"90","","",""
"","Involved with Online Payment Platforms","",""
"","Circular No:  02/2021: Trends in Foreign Currency Outflows via ATMs: Cash","037/03/009/0001/021","184"
"91","","",""
"","withdrawals in Overseas","",""
"","Circular No:  03/2021: Additional Measures to Mitigate the Emerging Money","037 /05/003/0005/016","185"
"92","","",""
"","Laundering/ Terrorist Financing Risks During the Third Wave of The COVID -19","",""
"","Pandemic","",""
"","Guidelines No:  02/2021: Guidelines for Financial Institutions on CCTV","037/06/008/0006/020","185"
"93","","",""
"","Operations for AML/CFT Purposes, No. 2 of 2021","",""
"94","Circular No:  04/2021: Deposits Made Under the Finance Act, No. 18 of 2021","","187"
"International Operations","","",""
"","Amendments to Operating Instructions for Licensed Banks on “Incentive Scheme","33/04/012/0011/005","188"
"95","","",""
"","on Inward Worker Remittances”","",""
