"","of  Rs.757.61  Mn  was  made  to  this  fund  in  March","","","","","","to overcome the effects of COVID-19 Pandemic.","","","","",""
"","The movements in the other reserves are as follows:","","","","","","","","","","",""
"","Medium","Market","Other","Special","RTGS","IRR","Revaluation","Net Fair","Pension","Technical","Reserve","Total"
"","and Long","Revaluation","Reserves","Credit","Sinking","","Reserve","Value Gain/","Fund","Advance-","for",""
"","Term","Reserve","","Guarantee","Fund","","","(Loss) on","Reserve","ment","Funding",""
"","Credit","","","Scheme","","","","FVOCI","","Reserve","Purposes",""
"","Reserve","","","Reserve","","","","Securities","","","of Post",""
"","","","","","","","","","","","Employ-",""
"","","","","","","","","","","","ment",""
"","","","","","","","","","","","Benefit",""
"","","","","","","","","","","","Plans",""
"","Rs. 000","Rs. 000","Rs. 000","Rs. 000","Rs. 000","Rs. 000","Rs. 000","Rs. 000","Rs. 000","Rs. 000","Rs. 000","Rs. 000"
"Balance as at","","","","","","","","","","","",""
"1 January 2021","29,577,739","63,463,145","1,142,018","40,000","2,870,918","147,994,227","12,694,596","21,483,407","2,000,000","-","745,973","282,012,023"
"Transfer to RTGS Sinking","","","","","","","","","","","",""
"","-","-","-","-","369,008","-","-","-","-","-","-","369,008"
