"3.0  List of Operating Instructions/Circulars Consolidated","","",""
"","Circular Number","Date Issued","Title"
"01","35/03/016/007/001","01 November 2016","Consolidated Operating Instructions on Market Operations"
"02","35/03/021/0013/001","23 August 2018","Open Market Operations of the Central Bank of Sri Lanka"
"03","35/03/016/007/002","14 February 2019","Consolidated Operating Instructions on Market Operations"
"04","35/03/016/007/003","05 September 2019","Revised Time Schedule for Open Market Operations"
"05","35/03/016/007/004","05 September 2019","Outright Auctions under Open Market Operations"
"06","35/03/021/0013/002","05 September 2019","Operating 
Instructions  on  Liquidity  Support  Facility 
for"
"","","","Standalone Primary Dealers under Open Market Operations"
"07","35/03/021/0013/003","05 September 2019","Open Market Operations of the Central Bank of Sri Lanka"
"08","35/03/016/007/005","11 February 2020","Outright Auctions under Open Market Operations"
"09","35/03/016/007/006","29 June 2020","Introducing Modifications to the Existing System for Standing"
"","","","Facility under Open Market Operations"
