"The following special Daily Operating Schedule will be followed on 24.12.2021 due to the special half-a-day bank  holiday for","",""
"Christmas day.","",""
"TIME","EVENT","ACTIvITIES	/TRANSACTIONS"
"0630 hrs.","System start-up","Start-up of RTGS/SSS applications."
"0730 hrs. to","Start of day processing","Update Official Prices of securities, earmarking securities for ILF."
"0800 hrs.","",""
"0800 hrs.","LankaSettle System opens for business","System opens for effecting transactions."
"0800 hrs.","ILF/Auto reversal of Repos and","Grant ILF and settle second leg of Repos of OMO and SDF"
"","Standing Deposit Facility (SDF)",""
"0815 hrs.","Maturities/Interest payments, start of","Settlement  of  maturity  proceeds/coupon  payments  of  securities,"
"","the day (SOD) file and maturities of","effecting  LankaSettle  charges/penalties  and  maturities  of  CBSL"
"","CBSL Securities","Securities."
"0830 hrs.","Multilateral Net Settlement (MLNS)","SLIPS Cycle 1/Main Clearing of CITS."
"","Batch from LankaClear",""
"0830 hrs.","Primary Auction Issuance/ Outright sales/","Issuance of Primary Auction/ Settlement of OMO outright sales,"
"","Purchases / Long Term Repo Auction/ Issue","purchases, Long Term CBSL Securities Auction and first leg of"
"","of Long Term CBSL Securities","Long Term Repo Auction."
"0845 hrs.","MLNS Batch from LankaClear","Common ATM Switch (CAS) Cycle 1"
"0900 hrs.","MLNS Batch from LankaClear","Common Electronic Fund Transfer Switch (CEFTS) Cycle 1"
"0900 hrs.","MLNS Batch from LankaClear","Common POS Switch (CPS) Cycle 1"
"0930 hrs.","Reversal of Reverse Repos and","Settlement of second leg of Reverse Repos under OMO and SLF."
"","Standing Lending Facility (SLF)",""
"0930 hrs.","Reversal of Liquidity Support Facility (LSF)","Settlement of second leg of LSF under OMO"
"1015 hrs.","Overnight/ Short Term Repos/Reverse","Settlement of first leg of Overnight/ Short Term Repos/Reverse"
"","Repos (Auction)","Repos under OMO"
"1030 hrs.","Closure of Primary Auction Settlement/","Settlement of securities under Primary Auction."
"","Short Term CBSL Securities Auction","Settlement of Short Term CBSL Securities Auction"
"1100 hrs.","MLNS Batch from LankaClear","CAS Cycle 2"
"1115 hrs.","MLNS Batch from LankaClear","CEFTS Cycle 2"
"1115 hrs.","MLNS Batch from LankaClear","CPS Cycle 2"
"1200 hrs.","MLNS Batch from LankaClear","SLIPS Cycle 2"
"1215 hrs.","MLNS Batch from LankaClear","Settlement Clearing and Adjustment Clearing."
"1215 hrs.","Primary cut-off time for third party","Close	for	new	transactions	(for	T	+	0)	in	favour	of	third	parties,"
"","transactions","except for bank-to-bank (MT2XX series)."
"1220 hrs.","Cut-off time for Participant managed","Participants should not initiate ILF Repos after 1220 hrs."
"","ILF Repo creation",""
"1220 hrs.","Cut-off time for standing facilities","SDF and SLF windows are closed for Participants at 1220 hrs."
"1235 hrs.","SDF","Settlement of first leg of SDF"
"1240 hrs.","SLF","Settlement of first leg of SLF."
"1245 hrs.","ILF Repayment","Repayment of ILF."
"1255 hrs.","Final Cut-off Time","No  further  inputs  are  accepted.    With  the  closure  of  system  for"
"","Closure of System for business","business, 
queue/Settlement 
processing  will 
cease 
and 
any"
"","","transactions still in queues will be rejected by the system."
