"Administrative Measures Adopted by the Government and the Monetary Board during the Year","","Part III"
"TIME","EVENT","ACTIvITIES	/TRANSACTIONS"
"0630 hrs.","System start-up","Start-up of RTGS/SSS applications."
"0730 hrs. to","Start of day processing","Update Official Prices of securities, earmarking securities for ILF."
"0800 hrs.","",""
"0800 hrs.","LankaSettle System opens for business","System opens for effecting transactions."
"0800 hrs.","ILF/Auto reversal of Repos and","Grant ILF and settle second leg of Repos of OMO and SDF"
"","Standing Deposit Facility (SDF)",""
"0815 hrs.","Maturities/Interest payments, start of","Settlement  of  maturity  proceeds/coupon  payments  of  securities,"
"","the day (SOD) file and maturities of","effecting  LankaSettle  charges/penalties  and  maturities  of  CBSL"
"","CBSL Securities","Securities."
"0830 hrs.","Multilateral Net Settlement (MLNS)","SLIPS Cycle 1/Main Clearing of CITS."
"","Batch from LankaClear",""
"0830 hrs.","Outright sales/ Purchases / Long","Settlement of OMO outright sales, purchases, Long Term CBSL"
"","Term Repo Auction/ Issue of Long","Securities Auction and first leg of Long Term Repo/Long Term LSF"
"","Term CBSL Securities","Auction."
"0845 hrs.","Primary Auction Issuance (when","Issuance of Primary Auction (when applicable)"
"","applicable)",""
"0845 hrs.","MLNS Batch from LankaClear","Common ATM Switch (CAS) Cycle 5 (previous business day)"
"","","Common ATM Switch (CAS) Cycle 1 (current business day)"
"0900 hrs.","MLNS Batch from LankaClear","Common Electronic Fund Transfer Switch (CEFTS) Cycle 5"
"","","(previous business day)"
"","","Common Electronic Fund Transfer Switch (CEFTS) Cycle 1"
"","","(current business day)"
"0900 hrs.","MLNS Batch from LankaClear","Common POS Switch (CPS) Cycle 5 (previous business day)"
"","","Common POS Switch (CPS) Cycle 1 (current business day)"
"1100 hrs.","Reversal of Reverse Repos and","Settlement of second leg of Reverse Repos under OMO and SLF."
"","Standing Lending Facility (SLF)",""
"1100 hrs.","Reversal of Liquidity Support Facility (LSF)","Settlement of second leg of LSF under OMO"
"1100 hrs.","MLNS Batch from LankaClear","CAS Cycle 2"
"1115 hrs.","MLNS Batch from LankaClear","CEFTS Cycle 2"
"1115 hrs.","MLNS Batch from LankaClear","CPS Cycle 2"
"1145 hrs.","Long Term Reverse Repos / Long","Settlement of first leg of Long Term Reverse Repos/ Long Term LSF"
"","Term LSF (Auction)","under OMO."
"1300 hrs.","MLNS Batch from LankaClear","SLIPS Cycle 2"
"1300 hrs.","MLNS Batch from LankaClear","CAS Cycle 3"
"1300 hrs.","Closure of Primary Auction","Settlement of securities under Primary Auction."
"","Settlement/Short Term CBSL","Settlement of Short Term CBSL Securities Auction"
"","Securities Auction",""
"1315 hrs.","MLNS Batch from LankaClear","CEFTS Cycle 3"
"1315 hrs.","MLNS Batch from LankaClear","CPS Cycle 3"
"1315 hrs.","Short Term Repos/Reverse Repos","Settlement  of  first  leg  of  Short  Term  Repos/Reverse  Repos  under"
"","(Auction)","OMO"
"1315 hrs.","Liquidity Support Facility (Auction)","Settlement of first leg of LSF under OMO"
"1445 hrs.","MLNS Batch from LankaClear","Settlement Clearing and Adjustment Clearing."
"1500 hrs.","MLNS Batch from LankaClear","SLIPS Cycle 3"
"1500 hrs.","MLNS Batch from LankaClear","CAS Cycle 4"
"1500 hrs.","MLNS Batch from LankaClear","CEFTS Cycle 4"
"1500 hrs.","MLNS Batch from LankaClear","CPS Cycle 4"
