"EXTERNAL SECTOR
 TABLE 4
Values in US$ million
 
 
 
 
 
 
Balance of Payments","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Current Account
Financial Account (c)
Overall
Terms of
Financial
Exports
Imports
Year
Investment
Private (d)
(e)
(Net)
(b)","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","Services
Transfers
Current
As a
& Primary 
(Net)
Account","","","","","","","","","","","Capital
Short-term
Long-term Capital (Net)
Balance
Trade
Account","","","","",""
"","","","","","","","","","","","","","","","","","","","","% of","","Account
(Net)","","","","(% change)
Balance",""
"","","","","","","","","","","","Income
Balance
GDP
(a)","","","","","","","","","","","(Net)
Direct
Other
Government","","","","(g)
(f)",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","1950
 296.5 
 246.3 
-6.9
-14.5
28.8
3.5
-
-0.4
-5.0
-
0.8
1951
 387.0 
 317.9 
-34.2
-16.2
18.7
1.9
-
-10.2
-3.3
-
4.9
1952
 309.3 
 352.0 
-29.2
-21.8
-93.6
-9.9
-
-1.0
-2.5
-
8.8
1953
 314.4 
 342.9 
4.8
-9.4
-33.2
-3.5
-
-1.5
-2.9
-0.2
-3.6
1954
 362.0 
 290.6 
1.9
-9.0
64.3
6.4
-
-2.7
-1.5
14.7
-6.1","","","","","","","","","","","","","","","","","","","","","","","","","-
35.0
-
-
19.6
-10.2
-
-79.3
-23.8
-
-44.6
0.0
-
66.8
23.7",""
"","1955
 397.5 
 310.4 
-6.5
-12.8
67.8
6.2
-
-5.2
-5.2
1.7
-1.5
1956
 372.1 
 331.0 
-12.4
-11.5
17.2
1.6
-
-5.2
-5.0
1.9
6.1
1957
 350.5 
 370.4 
-12.8
-8.2
-40.9
-3.8
-
-8.0
-0.6
4.8
0.6
1958
 341.0 
 359.7 
-8.6
-4.8
-32.1
-2.8
-
-2.5
-0.6
4.4
2.3
1959
 372.3 
 411.2 
-2.3
-2.5
-43.7
-3.2
-
-1.9
0.6
12.0
2.1","","","","","","","","","","","","","","","","","","","","","","","","","-
58.5
17.3
-
10.9
-5.3
-
-46.2
-15.0
-
-32.7
11.1
-
-29.8
0.0",""
"","1960
 377.2 
 421.3 
-6.7
4.6
-46.2
-3.3
-
0.6
-0.2
1.5
-1.5
1961
 358.5 
 376.7 
-3.8
2.3
-19.7
-1.4
-
-1.3
-0.4
5.2
2.9
1962
 370.2 
 400.3 
-0.6
1.6
-29.1
-2.0
-
-0.4
0.0
9.2
-0.2
1963
 358.7 
 392.5 
-4.4
2.9
-35.3
-2.3
-
1.0
0.0
16.6
-0.8
1964
 371.1 
 411.6 
-1.5
8.4
-33.6
-2.1
-
-0.2
0.4
8.8
-1.9","","","","","","","","","","","","","","","","","","","","","","","","","-
-40.3
0.0
-
-16.5
-5.9
-
-14.2
0.0
-
-16.8
-10.0
-
-26.6
-16.7",""
"","1965
 400.9 
 403.6 
6.5
8.4
12.2
0.7
-
0.0
-0.6
13.2
-3.8
1966
 351.5 
 423.8 
3.6
7.8
-60.9
-3.5
-
-2.9
-0.4
22.9
-3.8
1967
 339.4 
 408.4 
5.1
4.5
-59.2
-3.2
-
-1.0
-0.4
35.8
1.6
1968
 332.0 
 395.8 
1.7
2.5
-59.6
-3.4
-
-2.0
0.2
37.0
-1.2
1969
 320.7 
 446.1 
-15.1
6.6
-133.9
-7.0
-
-1.8
0.2
78.5
-1.7","","","","","","","","","","","","","","","","","","","","","","","","","-
19.7
9.1
-
-49.0
-6.3
-
87.9
-6.7
-
-29.4
27.5
-
-53.2
-30.2",""
"","1970
 338.7 
 391.8 
-17.5
11.8
-58.8
-2.6
-
-0.3
0.0
57.6
-0.7
1971
 325.4 
 373.7 
-2.4
14.3
-36.4
-1.5
-
0.3
0.0
74.0
-3.9
1972
 317.9 
 360.6 
-2.5
12.4
-32.8
-1.3
-
0.3
-0.2
48.6
-6.4
68.9
-1.7
1973
 366.4 
 412.9 
8.1
13.3
-25.1
-0.9
-
0.5
-0.3
1974
 511.2 
 701.1 
11.4
42.1
-136.4
-3.8
-
1.4
-0.2
84.6
-2.3","","","","","","","","","","","","","","","","","","","","","","","","","-
-7.0
-6.3
-
32.9
-5.8
-
69.5
-5.6
-
45.9
-11.8
-
-57.0
-11.4",""
"","1975
 563.4 
 767.3 
12.7
79.9
-111.4
-2.9
-
-0.1
0.0
62.7
-4.3
1976
 558.8 
 643.1 
13.3
65.1
-5.8
-0.2
-
0.0
-5.7
83.1
-7.1
1977
 767.1 
 726.2 
34.3
69.0
144.1
3.5
-
-1.0
-3.3
51.1
-10.0
1978
 845.1 
 1,025.4 
7.6
79.6
-93.1
-3.4
-
1.5
0.5
157.2
7.3
1979
 981.4 
 1,449.4 
47.5
192.2
-228.4
-6.8
-
47.0
9.1
156.2
0.1","","","","","","","","","","","","","","","","","","","","","","","","","-
10.4
-19.8
-
118.3
30.5
-
360.9
31.9
-
120.1
-1.8
-
51.9
-28.3",""
