"3","","","","","","","","","","","","US$ million"
"","","","","","","","","2019 (a)","","","2020 (b)",""
"2","","","","","","Item","","","","","",""
"","","","","","","","Credit Debit","","Net","Credit Debit","","Net"
"1","","","","","","","","","","","",""
"","","","","","","Goods and Services","19,414","24,562","-5,148","13,083","18,271","-5,189"
"% of GDP
0","","","","","","","","","","","",""
"","","","","","","Goods","11,940","19,937","-7,997","10,047","16,055","-6,008"
"-1","","","","","","General merchandise","11,940","19,935","-7,995","10,047","16,047","-5,999"
"","","","","","","Non-monetary gold","-","3","-3","-","9","-9"
"-2","","","","","","","","","","","",""
"","","","","","","Services","7,474","4,625","2,849","3,035","2,216","819"
"-3","","","","","","","","","","","",""
"","","","","","","Transport","2,339","1,710","630","1,174","1,059","114"
"-4","","","","","","Sea transport","1,155","820","335","702","635","67"
"","2016","2017
2018","2019","2020","","Freight","1,155","820","335","702","635","67"
"","","","","","","Air transport","1,184","889","295","472","424","48"
"","Current Account Balance","Financial Account (Net)","","Overall Balance","","","","","","","",""
"","","","","","","Passenger","1,056","798","258","394","354","40"
"","","","","","","Freight","128","91","37","78","71","7"
"","","","Source : Central Bank of Sri Lanka","","","","","","","","",""
"","","","","","","Travel (c)","3,607","1,638","1,969","682","449","234"
"","","","","","","Construction","67","35","32","7","10","-3"
"","","","","","","","","","","","",""
"","5.2 Current Account Balance","","","","","Insurance and pension services
Financial services","137
213","102
470","36
-258","39
96","82
220","-42
-125"
"","","","","","","Telecommunications and","","","","","",""
"","","","","","","","","","","","",""
"","The  current  account  deficit  narrowed  notably","","","","","computer services","1,054","515","539","995","288","706"
"","","","","","","Telecommunications","155","135","21","24","32","-8"
"","in  2020,  supported  by  the  significantly  reduced","","","","","Computer services","899","380","519","971","257","714"
"","","","","","","Other business services","35","78","-43","16","37","-21"
"","trade deficit, increased workers’ remittances and","","","","","Government goods and services","","","","","",""
"","","","","","","","21","77","-56","26","70","-44"
"","","","","","","n.i.e.","","","","","",""
"relatively","low  primary","","income  deficit,  despite","","","","","","","","",""
"","","","","","","Primary Income","252","2,713","-2,462","198","2,300","-2,101"
"","","","","","","Compensation of employees","31","130","-99","36","132","-96"
"","the  notable  reduction  reported  in  the  surplus  of","","","","","","","","","","",""
"","","","","","","Investment income","220","2,583","-2,363","162","2,167","-2,006"
"","","","","","","","","","","","",""
"","the  services  account.  The  trade  deficit  declined  by","","","","","Direct investment","26","855","-828","17","619","-602"
"","","","","","","Dividends","14","595","-581","14","428","-414"
"","around  US  dollars  2.0  billion  in  2020,  mainly  due  to","","","","","Reinvested earnings","13","260","-247","3","191","-188"
"","","","","","","Portfolio investment","-","1,044","-1,044","-","932","-932"
"","reduced  import  expenditure  following  the  restrictions","","","","","Equity","-","67","-67","-","18","-18"
"","","","","","","Interest","-","976","-976","-","914","-914"
"","imposed  on  the  importation  of  non-essential  goods","","","","","Short term","-","8","-8","-","2","-2"
"","","","","","","Long term","-","969","-969","-","911","-911"
"","as well as the eased crude oil prices. The surplus in","","","","","Other investment","97","685","-588","56","617","-560"
"","","","","","","Reserve assets","97","-","97","89","-","89"
"5","the  services  account  declined  sharply  as  a  result  of","","","","","","","","","","",""
"","","","","","","Secondary Income","6,726","960","5,766","7,117","910","6,207"
"","the  downturn  in  the  tourism  industry  and  disruptions","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","General government","9","-","9","13","-","13"
"","","","","","","Workers’ remittances","6,717","960","5,757","7,104","910","6,194"
"","to  air  and  sea  freight  transport  services,  despite  the","","","","","","","","","","",""
"","","","","","","Current Account","26,392","28,236","-1,843","20,398","21,481","-1,083"
"","increased inflows observed on account of information","","","","","","","","","","",""
"","","","","","","Capital Account","51","28","23","51","23","28"
"","","","","","","","","","","","",""
"technology","","led  business  process  outsourcing","","","(IT/","Capital transfers","51","28","23","51","23","28"
"","","","","","","General government","16","-","16","24","-","24"
"BPO)","related  services.  The  deficit","","in","the  primary","","Corporations and households","34","28","7","27","23","4"
"","","","","","","Current and Capital Account","26,443","28,263","-1,820","20,449","21,504","-1,055"
"income","account","contracted  with","the","decline","in","","","","","","",""
"","","","","","","","(a)  Revised                                                          Source: Central Bank of Sri Lanka","","","","",""
"","interest and coupon payments on foreign investment","","","","","(b)  Provisional","","","","","",""
"","","","","","","","(c)  Passenger services provided to non-residents are included in","","","","",""
"","in  government  securities  and  payments  related","","","","to","transport services.","","","","","",""
"","dividends and reinvested earnings of DIEs. Inflows to","","","","","","","","","","",""
"","the secondary income account increased, with higher","","","","","","5.2.1 Merchandise Trade Account","","","","",""
"","than  expected  workers’  remittances,  particularly","","","","in","","","","","","",""
"","the second half of 2020. These developments led the","","","","","Trade Balance","","","","","",""
"","external current account deficit to narrow to US dollars","","","","","","","","","","",""
"","","","","","","","The  deficit  in  the  trade  account  contracted","","","","",""
"","1.1 billion in 2020, from US dollars 1.8 billion in 2019.","","","","","","","","","","",""
"","","","","","","substantially","to  US  dollars  6,008  million","","","","","in"
"","As  a  percentage  of  GDP,  the  current  account  deficit","","","","","","","","","","",""
"","was at 1.3 per cent in 2020, compared to 2.2 per cent","","","","","","2020 from US dollars 7,997 million in 2019. This","","","","",""
"","","","","","","","improvement in the trade account was a combined","","","","",""
