"","","","","","","","the  disruptions  to  global  logistical  networks."
"","","","Figure 5.10","","","",""
"","","","","","","","With  IT/BPO  services  increasing  notably  in  2020,"
"","","Tourist Arrivals and Earnings from Tourism","","","","",""
"","","","2,334","","","","particularly  after  the  initial  pandemic  period,  the"
"","2,400","","","","","5,000",""
"","","2,116","","","","",""
"","","","","","","",""
"","","2,051","","1,914","","4,500","computer 
services 
subsector 
recorded 
higher"
"","2,000","","","","","",""
"","","","4,381","","","4,000",""
"","","3,925","","","","3,500","inflows  during 
the  year.  There  was  a  notable"
"","1,600","","","","","",""
"","","3,518","","","","",""
"","","","","","","3,000",""
"","","","","3,607","","","decline 
in  container  handling  as  well  as  some"
"Tourist Arrivals ('000)","1,200","","","","","US$ million
 2,500",""
"","","","","","","",""
"","","","","","","2,000","moderation 
in 
transshipment  carried  out 
in 
the"
"","800","","","","","",""
"","","","","","","1,500",""
"","","","","","508","",""
"","","","","","","1,000","Colombo  and  Hambantota  Ports,  due  to  supply"
"","400","","","","","",""
"","","","","","","500",""
"","","","","","","",""
"","","","","","682","","chain disruptions and restrictions on non-essential"
"","0","","","","","0",""
