"","","","2019","","2020 (a)","","","",""
"","","","","","","","Change in","Y-o-Y","Contribution"
"","Category","Value","","Share","Value","Share","Value","Change","to Change"
"","","US$ million","","%","US$ million","%","US$ million","%","%"
"","Agricultural Exports","2,461.9","","20.6","2,336.2","23.3","-125.6","-5.1","6.6"
"","Tea","1,346.4","","11.3","1,240.9","12.4","-105.5","-7.8","5.6"
"","Coconut","329.5","","2.8","345.2","3.4","15.7","4.8","-0.8"
"","Spices","312.5","","2.6","333.5","3.3","20.9","6.7","-1.1"
"","Seafood","262.5","","2.2","189.8","1.9","-72.6","-27.7","3.8"
"","Minor Agricultural Products","120.0","","1.0","134.7","1.3","14.6","12.2","-0.8"
"5","Vegetables","32.0","","0.3","36.6","0.4","4.6","14.3","-0.2"
"","","","","","","","","",""
"","Rubber","24.2","","0.2","30.1","0.3","5.9","24.4","-0.3"
"","Unmanufactured Tobacco","34.7","","0.3","25.5","0.3","-9.2","-26.6","0.5"
"","Industrial Exports","9,426.3","","78.9","7,672.0","76.4","-1,754.3","-18.6","92.7"
"","Textiles and Garments","5,596.5","","46.9","4,423.1","44.0","-1,173.4","-21.0","62.0"
"","Rubber Products","866.1","","7.3","786.1","7.8","-80.0","-9.2","4.2"
"","Food, Beverages and Tobacco","447.0","","3.7","464.0","4.6","17.0","3.8","-0.9"
"","Petroleum Products","521.1","","4.4","373.6","3.7","-147.6","-28.3","7.8"
"","Machinery and Mechanical Appliances","400.0","","3.3","337.5","3.4","-62.5","-15.6","3.3"
"","Gems, Diamonds and Jewellery","305.7","","2.6","181.5","1.8","-124.3","-40.6","6.6"
"","Transport Equipment","145.9","","1.2","71.4","0.7","-74.5","-51.0","3.9"
"","Leather, Travel Goods and Footwear","102.9","","0.9","53.9","0.5","-48.9","-47.6","2.6"
"","Printing Industry Products","48.3","","0.4","47.9","0.5","-0.4","-0.8","0.02"
"","Ceramic Products","30.1","","0.3","24.0","0.2","-6.1","-20.2","0.3"
"","Other Industrial Exports","962.8","","8.1","909.0","9.0","-53.8","-5.6","2.8"
"","Mineral Exports","33.9","","0.3","25.1","0.2","-8.8","-25.9","0.5"
"","Unclassified Exports","17.9","","0.2","14.1","0.1","-3.8","-21.4","0.2"
"","Total Exports (b) (c)","11,940.0","","100.0","10,047.4","100.0","-1,892.6","-15.9","100.0"
"","Annual Average Exchange Rate (d)","178.78","","","185.52","","","",""
"","(a) Provisional","","","","","","","Sources:  Ceylon Petroleum Corporation and",""
