"","Rs. 000","Rs. 000","Rs. 000","Rs. 000","Rs. 000","Rs. 000","Rs. 000","Rs. 000"
"Cash & Cash Equivalents","","","","","","","",""
"Balance as at 1 January","52,009","33,359","-","85,368","90,277","180,061","-","270,338"
"Transfer to Stage 1","28,828","(28,828)","-","-","1,164","(1,164)","-","-"
"Transfer to Stage 2","(34)","34","-","-","(52)","52","-","-"
"Transfer to Stage 3","-","-","-","-","-","-","-","-"
"Amount charged to the Income Statement","760,638","(1,174)","-","759,464","(39,380)","(145,590)","-","(184,970)"
"Balance as at 31 December","841,440","3,393","-","844,832","52,009","33,359","-","85,368"
"Securities at Fair Value through Other","","","","","","","",""
"Comprehensive Income","","","","","","","",""
"Balance as at 1 January","995","-","-","995","36,546","2,062,175","-","2,098,721"
"Transfer to Stage 1","-","-","-","-","-","-","-","-"
"Transfer to Stage 2","-","-","-","-","-","-","-","-"
"Transfer to Stage 3","-","-","-","-","-","-","-","-"
"Amount charged to the Income Statement","3,749","-","-","3,749","(35,551)","(2,062,175)","-","(2,097,726)"
"Balance as at 31 December","4,744","-","-","4,744","995","-","-","995"
