"Value","","","","","",""
"","","","","","Issuance of Currency Notes and Coins",""
"","","Rs.100","Rs.50","","",""
"","","","Rs.20","","",""
"","","2.8%","","","",""
"","Rs.500","","0.7%","Value (Rs. bn)","",""
"","","","0.7%","","",""
"","","","","Item","",""
"","5.3%","","","","",""
"","","","","2018
2019
2020","2021","2022"
"","","","","Fit Notes 
467.0
526.5
467.1","172.7","167.6"
"Rs.1000","","","","","",""
"","","","","New Notes
328.4
248.7
229.5","217.3","216.9"
"16.2%","","","","","",""
"","","","","Coins (a)
1.1
1.0
0.7","0.9","1.0"
"","","","","Total  
796.5
776.2
697.3","390.9","385.5"
"Rs.2000","","","","","",""
"0.3%","","","","(a) Commemorative coins are excluded from coin issuances","",""
