"Cash & Cash Equivalents","","","","","",""
"Federal  Reserve  Bank 
-  USA/  Reserve  Bank  of  Australia/Bank","for","","","","",""
"International  Settlements/  Bank  of  Japan/  Deutsche  Bundes  Bank/  Bank","","","","","",""
"","","","651,044,824","14.55%","497,630,980","16.67%"
"of England/ Sveriges Riks Bank/ Bank of Canada/ Reserve Bank of New","","","","","",""
"Zealand/ Reserve Bank of India/ People's Bank of China","","","","","",""
"Other Counterparties","","AAA","-","0.00%","4,009,562","0.13%"
"","","AA-","96,911","0.00%","2,004,771","0.07%"
"","","A+","80,743","0.00%","8,094,146","0.27%"
"","","A-","353,258","0.01%","768,180","0.03%"
"","","BBB","68,247","0.00%","40,255","0.00%"
"","","NR","43,881","0.00%","214,558","0.01%"
"","","","651,687,864","14.56%","512,762,452","17.18%"
"Securities at Fair Value through Other Comprehensive Income","","","","","",""
"","","AAA","1,090,124","0.03%","2,830,756","0.09%"
"","","AA+","9,777,301","0.23%","5,987,488","0.20%"
"","","","10,867,425","0.24%","8,818,244","0.29%"
"Derivative Financial Instruments","","","","","",""
"","","A","-","0.00%","55,853","0.00%"
"Locally Rated","","AA-","-","0.00%","34,088,798","1.14%"
"","","A+","-","0.00%","19,788,494","0.67%"
"","","A","343,437","0.01%","33,378","0.00%"
"","","A-","58,143","0.00%","-","0.00%"
"","","BBB-","-","0.00%","2","0.00%"
"","","BB+","-","0.00%","56,311","0.00%"
"","","","401,580","0.01%","54,022,836","1.81%"
"IMF Related Assets","","","281,421,074","6.29%","188,045,837","6.30%"
"","","","281,421,074","6.29%","188,045,837","6.30%"
"Other Receivables","","A","37,022,631","0.83%","-","0.00%"
"","","","37,022,631","0.83%","-","0.00%"
"Total Foreign Currency Financial Assets","","","981,400,574","21.93%","763,649,369","25.58%"
