"","Rs. 000","Rs. 000","Rs. 000","Rs. 000","Rs. 000"
"Foreign Currency Financial Assets","","","","",""
"Cash & Cash Equivalents","-","-","-","651,687,864","651,687,864"
"Securities at Fair Value through Other","","","","",""
"","-","10,867,425","-","-","10,867,425"
"Comprehensive Income","","","","",""
"Derivative Financial Instruments","401,580","-","-","-","401,580"
"IMF Related Assets","280,406,015","-","-","1,015,059","281,421,074"
"Other Receivables","-","-","-","37,022,631","37,022,631"
"Total Foreign Currency Financial Assets","280,807,595","10,867,425","-","689,725,554","981,400,574"
"Local Currency Financial Assets","","","","",""
"Sri Lanka Government Securities","-","2,498,995,015","-","","-     2,498,995,015"
"Securities Purchased under Resale Agreements","-","-","-","698,069,219","698,069,219"
"Provisional Advances to Government","-","-","-","235,638,700","235,638,700"
"Equity Investments in Financial and Other Institutions","-","-","1,817,132","-","1,817,132"
"Loans to Banks","-","-","-","28,257,902","28,257,902"
"Other Assets","-","-","-","30,182,560","30,182,560"
"Total Local Currency Financial Assets","-","2,498,995,015","1,817,132","","992,148,381   3,492,960,528"
"Foreign Currency Financial Liabilities","","","","",""
"Banks and Financial Institutions","-","-","-","146,408,028","146,408,028"
"Derivative Financial Instruments","71,697,994","-","-","-","71,697,994"
"Asian Clearing Union","-","-","-","736,258,129","736,258,129"
"IMF","-","-","-","1,127,925,092   1,127,925,092",""
"Other","-","-","-","594,383,451","594,383,451"
"Total Foreign Currency Financial Liabilities","","","","",""
"","71,697,994","-","-","2,604,974,700   2,676,672,694",""
"Local Currency Financial Liabilities","","","","",""
"Deposits of Banks and Financial Institutions","-","-","-","323,046,181","323,046,181"
"Deposits of Government and Governmental Entities","-","-","-","221,411","221,411"
"Securities Sold under Repurchase Agreements &","","","","",""
"","-","-","-","330,637,059","330,637,059"
"Standing Deposit Facility","","","","",""
"Currency in Circulation","-","-","-","1,026,567,252   1,026,567,252",""
"Other Payables","-","-","-","68,320,347","68,320,347"
"Total Local Currency Financial Liabilities","-","-","-","","1,748,792,250  1,748,792,250"
