"","","Instruments","Instruments","",""
"","Rs. 000","Rs. 000","Rs. 000","Rs. 000","Rs. 000"
"Foreign Currency Financial Assets","","","","",""
"Cash & Cash Equivalents","-","-","-","512,762,452","512,762,452"
"Securities at Fair Value through Other","","","","",""
"","-","8,818,244","-","-","8,818,244"
"Comprehensive Income","","","","",""
"Derivative Financial Instruments","54,022,836","-","-","-","54,022,836"
"IMF Related Assets","187,404,111","-","-","641,726","188,045,837"
"Total Foreign Currency Financial Assets","216,626,384","8,818,244","-","538,204,741","763,649,369"
"Local Currency Financial Assets","","","","",""
"Sri Lanka Government Securities","-","1,377,820,347","-","-","1,377,820,347"
"Securities Purchased under Resale Agreements","-","-","-","567,532,312","567,532,312"
"Provisional Advances to Government","-","-","-","150,128,800","150,128,800"
"Equity Investments in Financial and Other Institutions","-","-","1,671,218","-","1,671,218"
"Loans to Banks","-","-","-","90,572,746","90,572,746"
"Other Assets","-","-","-","34,063,770","34,063,770"
"Total Local Currency Financial Assets","-","1,377,820,347","1,671,218","842,297,628","2,221,789,193"
"Foreign Currency Financial Liabilities","","","","",""
"Banks and Financial Institutions","-","-","-","13,701","13,701"
"Derivative Financial Instruments","1,139,323","-","-","-","1,139,323"
"Asian Clearing Union","-","-","-","104,764,616","104,764,616"
"IMF","-","-","-","670,065,243","670,065,243"
"Others","-","-","-","357,295,676","357,295,676"
"Total Foreign Currency Financial Liabilities","1,139,323","-","-","1,132,139,236","1,133,278,559"
"Local Currency Financial Liabilities","","","","",""
"Deposits of Banks and Financial Institutions","-","-","-","300,704,162","300,704,162"
"Deposits of Government and Governmental Entities","-","-","-","1,392,301","1,392,301"
"Securities Sold Under Repurchase Agreements &","","","","",""
"","-","-","-","101,062,880","101,062,880"
"Standing Deposit Facility","","","","",""
"Currency in Circulation","-","-","-","1,005,099,066","1,005,099,066"
"Other Payables","-","-","-","19,163,882","19,163,882"
"Total Local Currency Financial Liabilities","-","-","-","1,427,422,291","1,427,422,291"
