"","","Key Socio-Economic Indicators by Province","","","","","","","",""
"","Based on Household Income and Expenditure Survey - 2019","","","","","","","","",""
"","","","","","","North","North","","Sabaraga-",""
"","Western","Central","Southern","Northern","Eastern","","","Uva","","All Island"
"","","","","","","Western","Central","","muwa",""
"Household Characteristics","","","","","","","","","",""
"Number of Individuals per Household","3.8","3.8","3.7","3.9","3.7","3.6","3.6","3.6","3.7","3.7"
"Number of Income Receivers per Household","1.9","1.8","1.8","1.8","1.6","1.8","1.7","1.7","1.8","1.8"
"Population Distribution","","","","","","","","","",""
"By Gender, %","","","","","","","","","",""
"Male","47.5","47.3","46.6","47.5","47.1","47.2","45.4","47.9","47.2","47.2"
"Female","52.5","52.7","53.4","52.5","52.9","52.8","54.6","52.1","52.8","52.8"
"By Age Group, %","","","","","","","","","",""
"0 -14 Years","20.2","23.7","22.8","23.2","27.3","24.3","25.5","23.0","21.8","22.8"
"15 - 59 Years","60.9","57.5","57.8","60.2","60.8","57.9","58.0","60.3","58.4","59.2"
"Over 59 Years","18.9","18.8","19.4","16.6","11.9","17.8","16.6","16.7","19.8","17.9"
"By Educational Attainment, %","","","","","","","","","",""
"No schooling","1.9","4.0","3.1","1.6","3.9","2.9","3.1","6.2","3.9","3.1"
"Up to Grade 5","14.7","23.0","21.7","22.4","27.8","23.8","25.2","25.1","22.5","21.1"
"Grade 6 - 10","40.6","44.5","43.9","50.9","43.0","46.7","45.9","46.6","44.8","44.0"
"Passed G.C.E. (O/L)","21.1","14.7","17.5","12.6","15.6","13.7","14.9","13.0","16.1","16.7"
"Passed G.C.E. (A/L) and Above","21.8","13.8","13.8","12.5","9.7","12.9","10.8","9.1","12.8","15.1"
"Income","","","","","","","","","",""
"Mean Income, Rs. per Month","","","","","","","","","",""
"Per Household","109,813","65,420","68,410","55,390","51,536","75,148","64,645","62,363","56,335","76,414"
"Per Person","28,809","17,275","18,658","14,107","13,925","20,984","18,131","17,173","15,163","20,527"
