"Hill Country","46","1,489","716","48","1,548","579","50","1,674","150","","","","","",""
"South Coast","173","8,676","4,521","182","8,695","3,686","178","8,662","794","","","","","",""
"North Area","7","207","55","8","235","41","8","249","23","","","","","",""
"District","","","","","","","","","","","","","","",""
"Ampara","","","","","","","","","","6","113","-","5","103","11"
"Anuradhapura","","","","","","","","","","16","737","2","13","614","99"
"Badulla","","","","","","","","","","12","299","0.2","12","299","41"
"Batticaloa","","","","","","","","","","13","642","2","12","595","92"
"Colombo","","","","","","","","","","54","6,144","248","53","6,291","1,179"
"Galle","","","","","","","","","","89","4,379","80","87","4,326","738"
"Gampaha","","","","","","","","","","37","1,900","48","38","1,920","238"
"Hambantota","","","","","","","","","","26","1,236","10","26","1,244","187"
"Jaffna","","","","","","","","","","6","204","1","6","204","28"
"Kalutara","","","","","","","","","","36","2,789","141","37","2,796","360"
"Kandy","","","","","","","","","","44","1,937","45","44","1,824","195"
"Kegalle","","","","","","","","","","3","30","0.02","3","30","1"
"Kilinochchi","","","","","","","","","","-","-","-","-","-","-"
"Kurunegala","","","","","","","","","","4","67","1","4","67","5"
"Mannar","","","","","","","","","","1","11","-","-","-","-"
"Matale","","","","","","","","","","34","1,494","18","33","1,450","134"
"Matara","","","","","","","","","","16","605","29","17","617","110"
"Moneragala","","","","","","","","","","8","274","12","8","274","29"
"Mullaitivu","","","","","","","","","","-","-","-","-","-","-"
"Nuwara Eliya","","","","","","","","","","30","1,213","2","31","1,207","140"
"Polonnaruwa","","","","","","","","","","10","418","2","9","362","21"
"Puttalam","","","","","","","","","","16","813","38","12","721","66"
"Ratnapura","","","","","","","","","","7","223","0.3","7","223","19"
"Trincomalee","","","","","","","","","","11","410","4","11","410","72"
"Vavuniya","","","","","","","","","","1","20","-","1","20","-"
