"","End of","","","Percentage Change","","Percentage Change","","","Percentage Change","","","","Percentage Change"
"","Period","Amount","","","Amount","","","Amount","","","Amount","",""
"","","Rs. bn","","","Rs. bn","","","Rs. bn","","","Rs. bn","",""
"","","","","Annual","","","Annual","","","Annual","","","Annual"
"","","","Year-on-Year","","","Year-on-Year","","","Year-on-Year","","","Year-on-Year",""
"","","","","Average","","","Average","","","Average","","","Average"
"2021","January","1,183.1","37.7","26.1","8,600.0","22.8","16.8","9,532.7","23.7","17.0","11,643.3","21.6","16.2"
"","February","1,199.9","38.5","28.7","8,706.2","22.9","17.9","9,650.9","23.8","18.3","11,790.4","21.9","17.2"
"","March","1,232.8","27.8","29.9","8,860.6","20.8","18.7","9,838.6","21.5","19.1","12,009.8","20.4","17.9"
"","April","1,244.2","25.4","30.4","8,944.6","19.8","19.2","9,947.3","20.4","19.7","12,154.1","19.6","18.4"
"","May","1,246.6","25.7","30.6","9,016.8","19.8","19.7","10,033.0","21.0","20.3","12,264.7","20.2","19.0"
"","June","1,293.3","29.1","30.9","9,136.2","20.1","20.2","10,164.8","21.5","20.9","12,401.6","20.9","19.6"
"","July","1,317.0","28.5","30.9","9,269.6","20.1","20.6","10,303.6","21.1","21.4","12,563.4","20.4","20.1"
"","August","1,355.2","28.0","30.8","9,412.4","19.8","20.9","10,513.6","21.0","21.7","12,789.9","20.2","20.4"
"","September","1,318.7","24.7","30.8","9,449.0","17.7","20.8","10,488.1","18.2","21.6","12,742.0","17.3","20.4"
"","October","1,372.7","26.4","30.2","9,536.0","16.8","20.4","10,581.7","17.3","21.3","12,873.4","16.5","20.1"
"","November","1,355.1","23.8","29.3","9,510.7","15.1","19.9","10,545.8","15.4","20.7","12,862.0","14.9","19.6"
"","December","1,459.9","24.0","28.3","9,638.9","13.5","19.1","10,647.3","13.2","19.9","12,985.4","13.3","18.9"
"","Monthly Average","1,298.2","28.3","","9,173.4","19.1","","10,187.3","19.9","","12,423.3","18.9",""
"2022","January","1,500.4","26.8","27.4","9,651.0","12.2","18.2","10,667.7","11.9","18.9","13,058.1","12.2","18.2"
"","February","1,507.1","25.6","26.3","9,735.8","11.8","17.3","10,755.1","11.4","17.8","13,166.5","11.7","17.3"
"","March","1,589.6","28.9","26.4","10,073.4","13.7","16.7","11,575.6","17.7","17.5","13,992.4","16.5","17.0"
"","April","1,635.1","31.4","26.9","10,193.4","14.0","16.2","11,940.6","20.0","17.5","14,355.9","18.1","16.9"
"","May","1,603.9","28.7","27.2","10,117.5","12.2","15.6","11,897.0","18.6","17.3","14,339.7","16.9","16.6"
"","June","1,545.5","19.5","26.4","10,143.6","11.0","14.8","11,901.4","17.1","16.9","14,334.9","15.6","16.1"
"","July","1,564.9","18.8","25.6","10,253.6","10.6","14.0","11,955.3","16.0","16.5","14,410.0","14.7","15.7"
"","August","1,534.1","13.2","24.3","10,285.9","9.3","13.2","11,986.9","14.0","15.9","14,450.7","13.0","15.1"
"","September","1,528.6","15.9","23.6","10,351.4","9.6","12.5","12,051.5","14.9","15.6","14,539.6","14.1","14.8"
"","October","1,456.7","6.1","21.9","10,338.4","8.4","11.8","12,045.7","13.8","15.3","14,547.0","13.0","14.5"
"","November","1,458.0","7.6","20.6","10,417.0","9.5","11.3","12,162.9","15.3","15.3","14,676.0","14.1","14.4"
"","December","1,453.6","-0.4","18.5","10,497.1","8.9","10.9","12,289.6","15.4","15.5","14,839.8","14.3","14.5"
"","Monthly Average","1,531.5","18.5","","10,171.5","10.9","","11,769.1","15.5","","14,225.9","14.5",""
"","","","","","","","","","","","","Source: Central Bank of Sri Lanka",""
