"","Real National Income","","","",""
"","","","","","Rs. million"
"Item","2018","2019","2020 (a)","2021 (a)(b)","2022 (b)"
"1.  Gross National Income at Constant (2015) Prices (c)","12,894,775","12,833,457","12,258,930","12,743,843","11,713,600"
"2.  Terms of Trade Effect (d) due to Export of:","","","","",""
"2.1  Tea","23,900","15,197","34,401","6,808","3,879"
"2.2  Rubber","-232","-591","-228","811","-80"
"2.3  Three Major Coconut Products","2,549","-6,169","3,949","1,758","-8,982"
"2.4  Other Products","59,874","52,754","53,340","-57,355","-169,340"
"Total","86,091","61,191","91,462","-47,978","-174,523"
"3.  Real National Income at Constant (2015) Prices (1+2)","12,980,866","12,894,648","12,350,392","12,695,865","11,539,077"
"4.  Percentage Change over Previous Year","2.2","-0.7","-4.2","2.8","-9.1"
"(a) Revised","","","","Sources: Department of Census and Statistics",""
