"","Composition of Exports according to the SITC (a)","","","","","","",""
"","","Rs. million","","","","US$ million","",""
"Category","","","","","","","",""
"","2019","2020","2021","2022 (b)","2019","2020","2021","2022 (b)"
"0. Food and Live Animals","454,526","446,590","566,380","879,096","2,542","2,409","2,846","2,702"
"00 Live Animals other than Animals of Division 03","137","54","107","214","1","…","1","1"
"01 Meat and Meat Preparations","1,012","668","771","1,505","6","4","4","5"
"02 Dairy Products and Birds’ Eggs","1,044","951","1,514","2,734","6","5","8","8"
"03 Fish, Crustaceans, Molluscs and Aquatic Invertebrates and Preparations Thereof","53,307","39,709","62,961","96,918","298","215","316","301"
"04 Cereals and Cereal Preparations","11,028","11,844","14,276","25,221","62","64","72","77"
"05 Vegetables and Fruit","61,019","73,059","93,234","144,860","341","394","468","449"
"06 Sugars, Sugar Preparations and Honey","511","853","1,024","1,319","3","5","5","4"
"07 Coffee, Tea, Cocoa, Spices and Manufactures Thereof","292,150","286,102","346,611","525,586","1,634","1,543","1,743","1,611"
"08 Feeding Stuff for Animals","23,082","19,067","29,780","56,110","129","103","149","171"
"09 Miscellaneous Edible Products and Preparations","11,237","14,281","16,102","24,628","63","77","81","75"
"1. Beverages and Tobacco","29,015","21,575","28,916","44,035","162","117","145","136"
"11 Beverages","8,812","5,801","6,627","15,369","49","31","33","47"
"12 Tobacco and Tobacco Manufactures","20,203","15,775","22,289","28,666","113","85","112","89"
"2. Crude Materials, Inedible, except Fuels","61,323","68,262","86,170","144,168","343","369","433","450"
"21 Hides, Skins, Furskins, Raw","-","…","-","-","-","…","-","-"
"22 Oil-seeds and Oleaginous Fruits","969","341","1,035","4,488","5","2","5","13"
"23 Crude Rubber","4,529","5,758","8,558","13,072","25","31","43","42"
"24 Cork and Wood","1,832","1,860","1,646","3,428","10","10","8","11"
"25 Pulp and Waste Paper","4,553","3,477","7,119","12,875","25","19","36","41"
"26 Textile Fibres and Their Wastes","33,398","43,135","47,806","72,904","187","233","240","229"
"27 Crude Fertilisers, other than those of Division 56, and Crude Minerals","3,353","3,184","4,130","6,420","19","17","21","20"
