"","Selected Industrial and Mineral Exports","","","","","","","","",""
"","","","Rs. million","","","","","US$ million","",""
"Item","","","","","","","","","",""
"","2018","2019","2020","2021","2022 (a)","2018","2019","2020","2021","2022 (a)"
"1.  Food, Beverages and Tobacco","75,060","79,989","85,963","116,860","166,431","462","447","464","587","520"
"Milling Industry Products","4,835","7,693","8,242","9,360","14,772","30","43","44","47","46"
"Vegetable, Fruit and Nuts Preparations","23,856","25,559","34,297","46,176","66,039","147","143","185","232","208"
"Cereal Preparations","3,273","3,343","4,056","4,730","8,575","20","19","22","24","26"
"Fish Preparations (b)","1,780","3,473","2,199","4,179","3,085","10","19","12","21","11"
"Manufactured Tobacco","15,142","13,999","11,046","16,011","20,882","93","78","60","80","65"
"Other","26,174","25,922","26,124","36,405","53,077","162","145","141","183","164"
"2.  Animal Fodder","17,480","23,082","19,067","29,780","56,110","108","129","103","149","171"
"3.  Textiles and Garments","865,975","1,000,713","817,593","1,081,158","1,922,051","5,318","5,596","4,423","5,435","5,952"
"Garments","807,787","930,805","728,005","984,941","1,770,608","4,961","5,206","3,939","4,952","5,483"
"Woven Fabrics","24,175","29,026","22,551","46,578","74,374","148","162","122","234","230"
"Yarn","13,513","16,356","14,011","18,408","32,961","83","92","76","93","100"
"Other Made-up Textile Articles","20,500","24,527","53,026","31,232","44,108","126","137","286","157","139"
"4.  Rubber Products","142,298","154,854","145,501","208,975","314,535","875","866","786","1,050","977"
"Rubber Tyres","88,456","91,426","77,887","117,618","191,203","545","512","421","591","593"
"Surgical Gloves and Other Gloves","30,580","37,053","45,989","72,598","94,729","188","207","248","365","296"
"Other Rubber Products","23,262","26,375","21,625","18,759","28,603","143","147","117","94","88"
"5.  Gems, Diamonds and Jewellery","44,963","54,677","33,483","55,003","148,197","278","306","181","277","451"
"Gems","22,910","27,754","14,448","24,022","71,730","142","155","78","121","218"
"Diamonds","19,584","23,911","17,496","28,647","71,182","120","134","95","144","216"
"Jewellery","2,469","3,011","1,539","2,333","5,284","15","17","8","12","16"
"6.  Machinery and Mechanical Appliances","70,609","71,495","62,467","99,602","189,381","435","400","338","501","581"
"Electrical Machinery and Equipment","9,599","6,860","5,515","9,853","15,663","59","38","30","49","49"
"Electronic Equipment","24,229","24,328","23,010","28,839","61,023","150","136","124","145","184"
"Insulated Wires, Cables and Conductors","11,326","11,366","9,127","14,060","25,994","70","64","49","71","81"
"Other","25,455","28,940","24,815","46,850","86,702","156","162","134","236","267"
"7.  Transport Equipment","19,424","25,950","13,213","29,572","41,649","120","146","71","148","129"
"Road Vehicles","9,235","9,653","8,604","15,398","22,656","57","54","47","77","71"
"Ships, Boats and Floating Structures","4,274","11,571","442","7,597","5,669","27","65","2","38","17"
"Other","5,915","4,727","4,168","6,577","13,323","37","26","23","33","41"
"8.  Petroleum Products","101,467","93,194","68,849","100,975","177,194","622","521","374","506","568"
"Bunkering and Aviation Fuel","91,174","86,709","59,526","73,535","168,681","559","485","323","369","537"
"Other Petroleum Products","10,293","6,485","9,323","27,440","8,513","63","36","51","137","31"
"9.  Chemical Products","27,057","31,505","32,002","44,398","72,654","167","176","173","223","223"
"10. Wood and Paper Products","22,843","23,134","18,370","25,855","43,701","141","129","99","130","137"
"11. Leather, Travel Goods and Footwear","23,860","18,397","9,965","11,636","28,356","148","103","54","58","86"
"Footwear","14,335","9,310","2,880","2,951","7,608","89","52","16","15","24"
"Travel Goods","5,766","6,193","5,048","6,738","15,624","35","35","27","34","47"
"Other","3,758","2,894","2,037","1,947","5,124","23","16","11","10","15"
"12. Plastics and Articles Thereof","12,635","13,139","32,613","15,646","19,212","78","73","176","79","61"
"13. Base Metals and Articles","26,919","31,547","20,534","31,152","56,319","165","177","111","156","177"
"14. Ceramic Products","5,076","5,373","4,436","7,450","12,461","31","30","24","37","38"
"Tiles","1,035","938","983","1,740","1,915","6","5","5","9","6"
"Tableware, Household Items and Sanitaryware","3,424","3,675","2,811","4,912","9,393","21","21","15","25","29"
"Other","616","760","643","797","1,153","4","4","3","4","3"
"15. Other Industrial Exports","50,534","58,393","54,537","72,453","127,596","311","326","295","364","395"
"Total Industrial Exports","1,506,200","1,685,442   1,418,594","","1,930,515","3,375,846","9,258","9,426","7,672","9,702","10,465"
"Mineral Exports","","","","","","","","","",""
"Natural Graphite","889","836","656","1,088","1,644","5","5","4","5","5"
"Natural Sands","1","1","1","1","…","…","…","…","…","…"
"Quartz","1,925","1,699","1,914","2,308","3,344","12","9","10","12","11"
"Other","2,756","3,527","2,085","5,444","11,476","17","20","11","27","34"
"Total Mineral Exports","5,570","6,063","4,657","8,841","16,465","34","34","25","45","50"
"(a)  Provisional","","","","Sources:  Ceylon Petroleum Corporation and Other Exporters of Petroleum","","","","","",""
