"","EXTERNAL  SECTOR  DEVELOPMENTS  AND  POLICIES","","","","","","","","","","","","TABLE  63 (Contd.)",""
"","","","","","Central Bank Trade Indices - Volume (a)","","","","","","","","",""
"","","","","","","","","","","","","","","2010=100"
"","","","","","","","Imports","","","","","","",""
"","","Consumer Goods","","","","Intermediate Goods","","","","","Investment Goods","","",""
"","","","","","","","","","","","","","","Total"
"Period","","Non-Food","","","","","","","","Machinery","","","",""
"","Food and","","","","Textiles and","","","","","","","","","Imports"
"","","","","","","","Chemical","Wheat and","","","Transport","Building","",""
"","","Consumer","Total","Fuel","Textile","Fertiliser","","","Total","and","","","Total",""
"","Beverages","","","","","","Products","Maize","","","Equipment","Materials","",""
"","","Goods","","","Articles","","","","","Equipment","","","",""
"2018","129.5","245.3","183.4","152.5","144.3","136.0","165.2","134.2","162.2","249.6","109.3","212.1","208.2","174.3"
"2019","120.5","174.0","145.4","151.8","153.9","119.5","155.7","127.5","156.0","261.5","93.7","215.1","211.5","164.2"
"2020","127.4","128.7","128.0","133.1","126.8","160.2","157.9","138.9","140.2","264.5","50.4","147.7","183.4","145.5"
"2021","125.5","130.4","127.8","134.2","153.9","74.5","177.3","134.2","152.0","359.0","46.7","154.5","230.6","162.2"
"2022 (b)","133.4","71.9","104.8","106.8","142.3","68.1","142.8","90.4","121.1","265.4","19.8","99.2","162.8","126.0"
"2020  
   1st    Quarter","141.4","147.4","144.2","164.8","132.3","58.7","154.8","117.0","149.7","273.9","71.0","157.2","195.3","156.6"
"2nd   Quarter","114.7","133.5","123.5","85.6","92.8","178.6","141.1","107.3","103.5","198.2","60.0","117.0","144.2","114.5"
"3rd    Quarter","121.2","114.2","118.0","150.0","133.1","76.1","166.9","194.9","154.8","273.3","28.6","161.9","187.2","153.2"
"4th    Quarter","132.2","119.6","126.3","132.1","148.9","327.6","169.0","136.3","152.7","312.6","42.2","154.5","207.1","157.5"
"2021      1st    Quarter","162.2","124.7","144.7","161.6","154.2","78.5","195.3","124.3","163.7","348.6","44.1","150.9","223.8","171.1"
"2nd   Quarter","123.3","131.6","127.2","124.2","156.8","127.6","189.0","122.5","150.3","312.2","50.7","161.6","210.9","157.0"
"3rd    Quarter","89.9","145.8","115.9","110.6","143.7","10.7","153.5","142.5","134.4","346.8","49.0","148.2","223.3","147.9"
"4th    Quarter","126.8","119.5","123.4","140.2","160.9","81.3","171.3","147.6","159.7","428.3","42.8","157.5","264.3","173.0"
"2022 (b) 1st    Quarter","160.9","102.5","133.7","137.8","168.3","27.3","170.4","102.6","150.2","376.3","34.4","148.5","234.5","163.0"
"2nd   Quarter","110.1","65.8","89.5","92.2","138.6","34.5","143.5","65.6","112.4","260.3","16.2","90.9","157.1","116.2"
