"","","","","","","","","","","","","","International"
"","","","Foreign","","","","","","","","","","Reserves as a"
"","","Cash and","","","","","","","","Government","","Total",""
"","","","Government","","","","","","","","","","Percentage of"
"","End of Period","Bank","","","","","","Loans and Advances to","","and","Other","Assets/",""
"","","","and","Special","","","","","","","","","Currency and"
"","","Balances","","","IMF related","","","","","Government","Assets","Liabilities",""
"","","","Non-","Drawing","","Receivables","Total","","","","","","Deposit"
"","","Abroad","","","Assets","","","","","Guaranteed","and","",""
"","","","Governmental","Rights","","","","","","","","","Liabilities"
"","","including","","","","","","","","Securities","Accounts","",""
"","","","Securities","","","","","","","","","",""
"","","Treasury Bills","","","","","","Government","Other","(b)","","",""
"","","","(a)","","","","","","","","","",""
"2018","","521,810","732,344","217","147,201","1,020","1,402,591","198,633","96","274,486","41,634","1,917,439","87"
"2019","","594,095","768,470","1,320","145,831","62","1,509,777","236,609","39","126,867","46,126","1,919,417","98"
"2020","","479,514","744,000","492","158,465","1,716","1,384,188","153,062","111,232","717,260","55,855","2,421,597","76"
"2021","","547,895","8,874","24,801","163,245","20","744,834","150,129","90,358","1,945,353","115,604","3,046,278","31"
"2022","","661,691","10,867","626","280,765","37,080","991,031","235,639","28,217","3,197,064","58,397","4,510,347","25"
"2021","January","481,984","664,777","1,290","162,804","3","1,310,858","198,171","109,629","727,532","58,056","2,404,246","70"
"","February","455,045","504,136","539","163,143","743","1,123,606","198,182","110,734","798,840","55,878","2,287,240","66"
"","March","388,605","402,399","542","163,963","7,341","962,851","198,190","109,462","895,049","51,563","2,217,115","58"
"","April","685,705","143,680","1,294","166,558","18,085","1,015,321","198,199","110,177","873,209","53,406","2,250,312","60"
"","May","753,383","127,623","584","167,533","4,328","1,053,452","198,190","110,489","857,266","57,395","2,276,793","60"
"","June","637,657","126,209","1,738","166,770","14","932,387","196,268","102,990","983,417","66,155","2,281,217","55"
"","July","507,580","76,088","2,444","166,017","408","752,537","198,182","98,814","1,220,849","53,962","2,324,344","42"
"","August","590,405","79,021","27,160","173,854","1,810","872,250","198,189","94,749","1,337,213","53,747","2,556,149","43"
"","September","375,500","74,168","25,585","163,723","356","639,333","198,190","92,090","1,633,801","54,398","2,617,811","31"
"","October","306,960","74,957","25,946","166,084","2,678","576,626","198,168","88,747","1,683,371","156,511","2,703,423","27"
"","November","277,373","8,917","24,986","164,517","20","475,813","198,202","87,873","1,796,804","138,367","2,697,059","23"
"","December","547,895","8,874","24,801","163,245","20","744,834","150,129","90,358","1,945,353","115,604","3,046,278","31"
"2022","January","400,427","8,703","24,720","162,712","1","596,562","224,800","85,612","2,163,337","138,754","3,209,064","23"
"","February","379,237","8,624","24,035","162,964","0","574,860","224,731","77,919","2,218,359","71,426","3,167,295","22"
"","March","499,004","9,396","35,424","240,184","5,513","789,521","224,787","73,066","2,458,921","83,580","3,629,875","23"
"","April","545,792","10,571","39,379","267,038","5,056","867,835","223,925","69,927","2,666,555","96,346","3,924,589","23"
"","May","635,390","11,171","6,032","282,941","10,127","945,662","224,612","67,848","2,681,161","92,757","4,012,040","24"
"","June","626,264","11,078","5,920","277,665","10,105","931,032","223,106","57,392","2,871,916","98,282","4,181,727","23"
"","July","613,109","11,249","5,916","277,500","4,685","912,459","224,818","51,888","3,040,052","86,346","4,315,562","23"
"","August","578,361","11,004","3,045","273,097","89,997","955,504","224,800","43,318","3,086,881","58,525","4,369,029","24"
"","September","598,703","10,784","3,010","269,810","82,098","964,404","224,800","35,962","3,078,332","62,609","4,366,107","25"
"","October","570,902","10,698","24,001","270,827","68,572","945,000","224,781","34,350","3,127,395","57,480","4,389,005","24"
"","November","619,482","10,881","14,872","277,400","37,066","959,700","224,021","32,900","3,146,022","57,397","4,420,039","24"
"","December","661,691","10,867","626","280,765","37,080","991,031","235,639","28,217","3,197,064","58,397","4,510,347","25"
"","(a)  Includes securities acquired from government institutions.","","","","","","","","","","","","(Contd.)"
